Tier	Begin time	End time	Duration	Annotation
annotation	00:00:01.564	00:00:01.887	0.323	R
annotation	00:00:01.887	00:00:02.259	0.372	G
annotation	00:00:02.259	00:00:02.427	0.167	G
annotation	00:00:02.427	00:00:02.594	0.167	R
annotation	00:00:02.594	00:00:02.960	0.366	S
annotation	00:00:02.960	00:00:03.123	0.163	S
annotation	00:00:03.123	00:00:03.311	0.189	R
annotation	00:00:03.311	00:00:03.493	0.181	S
annotation	00:00:03.493	00:00:03.674	0.181	S
annotation	00:00:03.674	00:00:03.871	0.197	D
annotation	00:00:03.871	00:00:04.068	0.197	M
annotation	00:00:04.068	00:00:04.446	0.378	D
annotation	00:00:04.446	00:00:04.644	0.197	M
annotation	00:00:04.644	00:00:04.841	0.197	D
annotation	00:00:04.841	00:00:05.018	0.177	S
annotation	00:00:05.018	00:00:05.378	0.359	D
annotation	00:00:05.378	00:00:05.559	0.182	S
annotation	00:00:05.559	00:00:05.732	0.173	D
annotation	00:00:05.732	00:00:05.905	0.173	S
annotation	00:00:05.905	00:00:06.078	0.173	R
annotation	00:00:06.078	00:00:06.420	0.342	G
annotation	00:00:06.420	00:00:06.607	0.188	M
annotation	00:00:06.607	00:00:06.807	0.199	G
annotation	00:00:06.807	00:00:07.006	0.199	G
annotation	00:00:07.006	00:00:07.187	0.181	R
annotation	00:00:07.187	00:00:07.368	0.181	S
annotation	00:00:13.182	00:00:13.378	0.196	R
annotation	00:00:13.378	00:00:13.574	0.196	G
annotation	00:00:13.574	00:00:13.765	0.192	M
annotation	00:00:13.765	00:00:14.137	0.372	G
annotation	00:00:14.137	00:00:14.317	0.180	M
annotation	00:00:14.317	00:00:14.484	0.167	R
annotation	00:00:14.484	00:00:14.651	0.167	G
annotation	00:00:14.651	00:00:14.822	0.171	S
annotation	00:00:14.822	00:00:15.172	0.350	R
annotation	00:00:15.172	00:00:15.350	0.178	D
annotation	00:00:15.350	00:00:15.519	0.169	S
annotation	00:00:15.519	00:00:15.661	0.142	R
annotation	00:00:15.661	00:00:15.857	0.195	G
annotation	00:00:15.857	00:00:16.024	0.168	M
annotation	00:00:16.024	00:00:16.227	0.203	D
annotation	00:00:16.227	00:00:16.401	0.174	M
annotation	00:00:16.401	00:00:16.602	0.201	D
annotation	00:00:16.602	00:00:16.940	0.337	S^
annotation	00:00:16.940	00:00:17.104	0.165	S^
annotation	00:00:17.104	00:00:17.270	0.166	D
annotation	00:00:17.270	00:00:17.437	0.166	S^
annotation	00:00:17.437	00:00:17.608	0.171	D
annotation	00:00:17.608	00:00:17.940	0.332	M
annotation	00:00:17.940	00:00:18.102	0.162	G
annotation	00:00:18.102	00:00:18.285	0.183	M
annotation	00:00:18.285	00:00:18.468	0.183	G
annotation	00:00:18.468	00:00:18.638	0.170	R
annotation	00:00:18.638	00:00:18.808	0.170	S
annotation	00:00:24.407	00:00:24.581	0.175	S^
annotation	00:00:24.581	00:00:24.756	0.175	S^
annotation	00:00:24.756	00:00:24.931	0.175	D
annotation	00:00:24.931	00:00:25.277	0.346	D
annotation	00:00:25.277	00:00:25.447	0.171	M
annotation	00:00:25.447	00:00:25.620	0.172	D
annotation	00:00:25.620	00:00:25.792	0.172	D
annotation	00:00:25.792	00:00:25.960	0.167	M
annotation	00:00:25.960	00:00:26.305	0.345	G
annotation	00:00:26.305	00:00:26.482	0.178	R
annotation	00:00:26.482	00:00:26.656	0.173	G
annotation	00:00:26.656	00:00:26.829	0.173	M
annotation	00:00:26.829	00:00:27.002	0.173	R
annotation	00:00:27.002	00:00:27.174	0.173	G
annotation	00:00:27.175	00:00:27.346	0.172	S
annotation	00:00:27.346	00:00:27.518	0.172	R
annotation	00:00:27.518	00:00:27.692	0.175	G
annotation	00:00:27.692	00:00:28.034	0.342	M
annotation	00:00:28.034	00:00:28.202	0.167	M
annotation	00:00:28.202	00:00:28.388	0.186	D
annotation	00:00:28.388	00:00:28.574	0.186	M
annotation	00:00:28.574	00:00:28.747	0.173	G
annotation	00:00:28.747	00:00:28.920	0.173	R
annotation	00:00:28.920	00:00:29.110	0.190	G
annotation	00:00:29.110	00:00:29.301	0.190	M
annotation	00:00:29.301	00:00:29.483	0.182	D
annotation	00:00:29.483	00:00:29.665	0.182	D
annotation	00:00:29.665	00:00:30.041	0.377	S^
annotation	00:00:30.041	00:00:30.206	0.164	D
annotation	00:00:30.206	00:00:30.380	0.174	S^
annotation	00:00:30.380	00:00:30.558	0.178	R^
annotation	00:00:30.558	00:00:30.922	0.364	S^
annotation	00:00:30.922	00:00:31.098	0.176	R^
annotation	00:00:31.098	00:00:31.293	0.195	G
annotation	00:00:31.293	00:00:31.488	0.195	M^
annotation	00:00:31.488	00:00:31.680	0.192	R^
annotation	00:00:31.680	00:00:32.036	0.355	G^
annotation	00:00:32.036	00:00:32.224	0.188	M
annotation	00:00:32.224	00:00:32.362	0.138	G^
annotation	00:00:32.362	00:00:32.595	0.233	G^
annotation	00:00:32.595	00:00:32.767	0.172	R^
annotation	00:00:32.767	00:00:32.981	0.213	S^
