Tier	Begin time	End time	Duration	Annotation
annotation	00:00:09.875	00:00:10.606	0.731	R
annotation	00:00:10.606	00:00:11.337	0.731	G
annotation	00:00:11.337	00:00:11.702	0.365	G
annotation	00:00:11.702	00:00:12.068	0.365	R
annotation	00:00:12.068	00:00:12.799	0.731	S
annotation	00:00:12.799	00:00:13.164	0.365	S
annotation	00:00:13.164	00:00:13.530	0.365	R
annotation	00:00:13.530	00:00:13.895	0.365	S
annotation	00:00:13.895	00:00:14.261	0.365	S
annotation	00:00:14.261	00:00:14.626	0.365	D
annotation	00:00:14.626	00:00:14.992	0.365	M
annotation	00:00:14.992	00:00:15.726	0.734	D
annotation	00:00:15.726	00:00:16.092	0.365	M
annotation	00:00:16.092	00:00:16.457	0.365	D
annotation	00:00:16.457	00:00:16.822	0.365	S
annotation	00:00:16.822	00:00:17.553	0.731	D
annotation	00:00:17.553	00:00:17.919	0.365	S
annotation	00:00:17.919	00:00:18.284	0.365	D
annotation	00:00:18.284	00:00:18.602	0.317	S
annotation	00:00:18.602	00:00:19.015	0.414	R
annotation	00:00:19.015	00:00:19.746	0.731	G
annotation	00:00:19.746	00:00:20.112	0.365	M
annotation	00:00:20.112	00:00:20.477	0.365	G
annotation	00:00:20.477	00:00:20.843	0.365	G
annotation	00:00:20.843	00:00:21.208	0.365	R
annotation	00:00:21.208	00:00:21.574	0.365	S
annotation	00:00:31.870	00:00:32.193	0.323	R
annotation	00:00:32.193	00:00:32.515	0.323	G
annotation	00:00:32.515	00:00:32.838	0.323	M
annotation	00:00:32.838	00:00:33.483	0.645	G
annotation	00:00:33.483	00:00:33.806	0.323	M
annotation	00:00:33.806	00:00:34.128	0.323	R
annotation	00:00:34.128	00:00:34.451	0.323	G
annotation	00:00:34.451	00:00:34.773	0.323	S
annotation	00:00:34.773	00:00:35.418	0.645	R
annotation	00:00:35.418	00:00:35.741	0.323	D
annotation	00:00:35.741	00:00:36.064	0.323	S
annotation	00:00:36.064	00:00:36.386	0.323	R
annotation	00:00:36.386	00:00:36.709	0.323	G
annotation	00:00:36.709	00:00:37.031	0.323	M
annotation	00:00:37.031	00:00:37.397	0.365	D
annotation	00:00:37.397	00:00:37.799	0.402	M
annotation	00:00:37.799	00:00:38.128	0.329	D
annotation	00:00:38.128	00:00:38.859	0.731	S^
annotation	00:00:38.859	00:00:39.224	0.365	S^
annotation	00:00:39.224	00:00:39.590	0.365	D
annotation	00:00:39.590	00:00:39.955	0.365	S^
annotation	00:00:39.955	00:00:40.321	0.365	D
annotation	00:00:40.321	00:00:41.052	0.731	M
annotation	00:00:41.052	00:00:41.462	0.410	G
annotation	00:00:41.462	00:00:41.782	0.321	M
annotation	00:00:41.782	00:00:42.148	0.365	G
annotation	00:00:42.148	00:00:42.541	0.393	R
annotation	00:00:42.541	00:00:42.879	0.338	S
annotation	00:00:52.754	00:00:53.084	0.330	S^
annotation	00:00:53.084	00:00:53.415	0.330	S^
annotation	00:00:53.415	00:00:53.745	0.330	D
annotation	00:00:53.745	00:00:54.406	0.661	D
annotation	00:00:54.406	00:00:54.737	0.330	M
annotation	00:00:54.737	00:00:55.067	0.330	D
annotation	00:00:55.067	00:00:55.398	0.330	D
annotation	00:00:55.398	00:00:55.728	0.330	M
annotation	00:00:55.728	00:00:56.389	0.661	G
annotation	00:00:56.389	00:00:56.719	0.330	R
annotation	00:00:56.719	00:00:57.002	0.282	G
annotation	00:00:57.002	00:00:57.380	0.379	M
annotation	00:00:57.380	00:00:57.711	0.330	R
annotation	00:00:57.711	00:00:58.041	0.330	G
annotation	00:00:58.041	00:00:58.363	0.322	S
annotation	00:00:58.363	00:00:58.686	0.322	R
annotation	00:00:58.686	00:00:59.008	0.322	G
annotation	00:00:59.008	00:00:59.653	0.645	M
annotation	00:00:59.653	00:00:59.975	0.322	M
annotation	00:00:59.975	00:01:00.297	0.322	D
annotation	00:01:00.297	00:01:00.620	0.322	M
annotation	00:01:00.620	00:01:00.942	0.322	G
annotation	00:01:00.942	00:01:01.264	0.322	R
annotation	00:01:01.264	00:01:01.587	0.322	G
annotation	00:01:01.587	00:01:01.909	0.322	M
annotation	00:01:01.909	00:01:02.231	0.322	D
annotation	00:01:02.231	00:01:02.554	0.322	D
annotation	00:01:02.554	00:01:03.198	0.645	S^
annotation	00:01:03.198	00:01:03.521	0.323	D
annotation	00:01:03.521	00:01:03.844	0.323	S^
annotation	00:01:03.844	00:01:04.167	0.323	R^
annotation	00:01:04.167	00:01:04.812	0.645	S^
annotation	00:01:04.812	00:01:05.135	0.323	R^
annotation	00:01:05.135	00:01:05.458	0.323	G
annotation	00:01:05.458	00:01:05.780	0.323	M^
annotation	00:01:05.780	00:01:06.103	0.323	R^
annotation	00:01:06.103	00:01:06.749	0.645	G^
annotation	00:01:06.749	00:01:07.071	0.323	M
annotation	00:01:07.071	00:01:07.394	0.323	G^
annotation	00:01:07.394	00:01:07.717	0.323	G^
annotation	00:01:07.717	00:01:08.039	0.323	R^
annotation	00:01:08.039	00:01:08.362	0.323	S^
annotation	00:01:08.362	00:01:08.728	0.365	R^
annotation	00:01:08.728	00:01:09.093	0.365	G^
annotation	00:01:09.093	00:01:09.459	0.365	R^
annotation	00:01:09.459	00:01:09.824	0.365	S^
annotation	00:01:09.824	00:01:10.190	0.365	R^
annotation	00:01:10.190	00:01:10.555	0.365	D
annotation	00:01:10.555	00:01:10.920	0.365	R^
annotation	00:01:10.920	00:01:11.286	0.365	S^
annotation	00:01:11.286	00:01:11.651	0.365	S^
annotation	00:01:11.651	00:01:12.039	0.388	D
annotation	00:01:12.039	00:01:12.379	0.340	M
annotation	00:01:12.379	00:01:12.748	0.369	D
annotation	00:01:12.748	00:01:13.113	0.365	M
annotation	00:01:13.113	00:01:13.479	0.365	G
annotation	00:01:13.479	00:01:13.844	0.365	R
annotation	00:01:13.844	00:01:14.210	0.365	S
annotation	00:01:33.943	00:01:34.258	0.315	R
annotation	00:01:34.258	00:01:34.573	0.315	G
annotation	00:01:34.573	00:01:34.889	0.315	M
annotation	00:01:34.889	00:01:35.519	0.630	R
annotation	00:01:35.519	00:01:35.834	0.315	G
annotation	00:01:35.834	00:01:36.149	0.315	S
annotation	00:01:36.149	00:01:36.464	0.315	R
annotation	00:01:36.464	00:01:36.780	0.315	G
annotation	00:01:36.780	00:01:37.410	0.630	S
annotation	00:01:37.410	00:01:37.725	0.315	R
annotation	00:01:37.725	00:01:38.040	0.315	S
annotation	00:01:38.040	00:01:38.356	0.315	D
annotation	00:01:38.356	00:01:38.671	0.315	M
annotation	00:01:38.671	00:01:38.986	0.315	D
annotation	00:01:38.986	00:01:39.401	0.415	S
annotation	00:01:39.401	00:01:39.717	0.316	D
annotation	00:01:39.717	00:01:40.082	0.365	S
annotation	00:01:40.082	00:01:40.800	0.718	R
annotation	00:01:40.800	00:01:41.179	0.379	R
annotation	00:01:41.179	00:01:41.544	0.365	G
