Tier	Begin time	End time	Duration	Annotation
annotation	00:00:09.302	00:00:10.019	0.717	R
annotation	00:00:10.019	00:00:10.627	0.608	G
annotation	00:00:10.627	00:00:10.955	0.328	G
annotation	00:00:10.955	00:00:11.241	0.286	R
annotation	00:00:11.241	00:00:11.935	0.694	S
annotation	00:00:11.935	00:00:12.235	0.300	S
annotation	00:00:12.235	00:00:12.535	0.300	R
annotation	00:00:12.535	00:00:12.855	0.320	S
annotation	00:00:12.855	00:00:13.175	0.320	S
annotation	00:00:13.175	00:00:13.455	0.281	D
annotation	00:00:13.455	00:00:13.736	0.281	M
annotation	00:00:13.736	00:00:14.457	0.721	D
annotation	00:00:14.457	00:00:14.823	0.366	M
annotation	00:00:14.823	00:00:15.189	0.366	D
annotation	00:00:15.189	00:00:15.524	0.335	S
annotation	00:00:15.524	00:00:16.208	0.684	D
annotation	00:00:16.208	00:00:16.541	0.332	S
annotation	00:00:16.541	00:00:16.890	0.350	D
annotation	00:00:16.890	00:00:17.224	0.333	S
annotation	00:00:17.224	00:00:17.533	0.309	R
annotation	00:00:17.533	00:00:18.181	0.648	G
annotation	00:00:18.181	00:00:18.530	0.350	M
annotation	00:00:18.530	00:00:18.884	0.354	G
annotation	00:00:18.884	00:00:19.238	0.354	G
annotation	00:00:19.238	00:00:19.573	0.335	R
annotation	00:00:19.573	00:00:19.861	0.289	S
annotation	00:00:30.831	00:00:31.151	0.320	R
annotation	00:00:31.151	00:00:31.470	0.320	G
annotation	00:00:31.470	00:00:31.783	0.312	M
annotation	00:00:31.783	00:00:32.400	0.618	G
annotation	00:00:32.400	00:00:32.748	0.348	M
annotation	00:00:32.748	00:00:33.103	0.355	R
annotation	00:00:33.103	00:00:33.457	0.355	G
annotation	00:00:33.457	00:00:33.814	0.357	S
annotation	00:00:33.814	00:00:34.507	0.692	R
annotation	00:00:34.507	00:00:34.842	0.335	D
annotation	00:00:34.842	00:00:35.162	0.320	S
annotation	00:00:35.162	00:00:35.482	0.320	R
annotation	00:00:35.482	00:00:35.786	0.305	G
annotation	00:00:35.786	00:00:36.091	0.305	M
annotation	00:00:36.091	00:00:36.456	0.364	D
annotation	00:00:36.456	00:00:36.820	0.364	M
annotation	00:00:36.820	00:00:37.180	0.360	D
annotation	00:00:37.180	00:00:37.875	0.695	S^
annotation	00:00:37.875	00:00:38.209	0.334	S^
annotation	00:00:38.209	00:00:38.512	0.303	D
annotation	00:00:38.512	00:00:38.800	0.288	S^
annotation	00:00:38.800	00:00:39.162	0.362	D
annotation	00:00:39.162	00:00:39.803	0.640	M
annotation	00:00:39.803	00:00:40.060	0.257	G
annotation	00:00:40.060	00:00:40.387	0.327	M
annotation	00:00:40.387	00:00:40.681	0.294	G
annotation	00:00:40.681	00:00:40.988	0.307	R
annotation	00:00:40.988	00:00:41.297	0.309	S
annotation	00:00:51.807	00:00:52.175	0.368	S^
annotation	00:00:52.175	00:00:52.542	0.368	S^
annotation	00:00:52.542	00:00:52.921	0.378	D
annotation	00:00:52.921	00:00:53.540	0.620	D
annotation	00:00:53.540	00:00:53.919	0.379	M
annotation	00:00:53.919	00:00:54.232	0.312	D
annotation	00:00:54.232	00:00:54.622	0.390	D
annotation	00:00:54.622	00:00:54.920	0.299	M
annotation	00:00:54.920	00:00:55.596	0.676	G
annotation	00:00:55.596	00:00:55.952	0.355	R
annotation	00:00:55.952	00:00:56.309	0.357	G
annotation	00:00:56.309	00:00:56.666	0.357	M
annotation	00:00:56.666	00:00:57.015	0.349	R
annotation	00:00:57.015	00:00:57.364	0.349	G
annotation	00:00:57.364	00:00:57.695	0.331	S
annotation	00:00:57.695	00:00:58.026	0.331	R
annotation	00:00:58.026	00:00:58.319	0.293	G
annotation	00:00:58.319	00:00:59.019	0.700	M
annotation	00:00:59.019	00:00:59.284	0.265	M
annotation	00:00:59.284	00:00:59.621	0.337	D
annotation	00:00:59.621	00:00:59.958	0.337	M
annotation	00:00:59.958	00:01:00.313	0.355	G
annotation	00:01:00.313	00:01:00.641	0.328	R
annotation	00:01:00.641	00:01:00.998	0.356	G
annotation	00:01:00.998	00:01:01.320	0.323	M
annotation	00:01:01.320	00:01:01.660	0.340	D
annotation	00:01:01.660	00:01:02.061	0.401	D
annotation	00:01:02.061	00:01:02.740	0.679	S^
annotation	00:01:02.740	00:01:03.072	0.332	D
annotation	00:01:03.072	00:01:03.385	0.313	S^
annotation	00:01:03.385	00:01:03.741	0.356	R^
annotation	00:01:03.741	00:01:04.408	0.667	S^
annotation	00:01:04.408	00:01:04.718	0.310	R^
annotation	00:01:04.718	00:01:05.001	0.283	G
annotation	00:01:05.001	00:01:05.322	0.321	M^
annotation	00:01:05.322	00:01:05.642	0.321	R^
annotation	00:01:05.642	00:01:06.325	0.683	G^
annotation	00:01:06.325	00:01:06.687	0.362	M
