Tier	Begin time	End time	Duration	Annotation
annotation	00:00:01.324	00:00:01.954	0.630	R
annotation	00:00:01.954	00:00:02.699	0.745	G
annotation	00:00:02.699	00:00:03.124	0.425	G
annotation	00:00:03.124	00:00:03.553	0.428	R
annotation	00:00:03.553	00:00:04.475	0.923	S
annotation	00:00:04.475	00:00:04.900	0.425	S
annotation	00:00:04.900	00:00:05.326	0.425	R
annotation	00:00:05.326	00:00:05.735	0.410	S
annotation	00:00:05.735	00:00:06.141	0.406	S
annotation	00:00:06.141	00:00:06.583	0.442	D
annotation	00:00:06.583	00:00:07.021	0.438	M
annotation	00:00:07.021	00:00:07.991	0.969	D
annotation	00:00:07.991	00:00:08.475	0.485	M
annotation	00:00:08.475	00:00:08.960	0.485	D
annotation	00:00:08.960	00:00:09.340	0.380	S
annotation	00:00:09.340	00:00:10.213	0.874	D
annotation	00:00:10.213	00:00:10.671	0.457	S
annotation	00:00:10.671	00:00:11.079	0.409	D
annotation	00:00:11.079	00:00:11.488	0.409	S
annotation	00:00:11.488	00:00:11.851	0.363	R
annotation	00:00:11.851	00:00:12.616	0.765	G
annotation	00:00:12.616	00:00:13.018	0.402	M
annotation	00:00:13.018	00:00:13.451	0.433	G
annotation	00:00:13.451	00:00:13.885	0.433	G
annotation	00:00:13.885	00:00:14.298	0.414	R
annotation	00:00:14.298	00:00:14.712	0.414	S
annotation	00:00:14.712	00:00:15.082	0.370	R
annotation	00:00:15.082	00:00:15.452	0.370	G
annotation	00:00:15.452	00:00:15.854	0.402	M
annotation	00:00:15.854	00:00:16.675	0.820	G
annotation	00:00:16.675	00:00:17.092	0.418	M
annotation	00:00:17.092	00:00:17.489	0.396	R
annotation	00:00:17.489	00:00:17.885	0.396	G
annotation	00:00:17.885	00:00:18.298	0.413	S
annotation	00:00:18.298	00:00:19.124	0.826	R
annotation	00:00:19.124	00:00:19.537	0.414	D
annotation	00:00:19.537	00:00:19.977	0.440	S
annotation	00:00:19.977	00:00:20.417	0.440	R
annotation	00:00:20.417	00:00:20.834	0.417	G
annotation	00:00:20.834	00:00:21.251	0.417	M
annotation	00:00:21.251	00:00:21.607	0.357	D
annotation	00:00:21.607	00:00:21.939	0.332	M
annotation	00:00:21.939	00:00:22.358	0.419	D
annotation	00:00:22.358	00:00:23.129	0.770	S^
annotation	00:00:23.129	00:00:23.505	0.376	S^
annotation	00:00:23.505	00:00:23.962	0.457	D
annotation	00:00:23.962	00:00:24.419	0.457	S^
annotation	00:00:24.419	00:00:24.816	0.397	D
annotation	00:00:24.816	00:00:25.612	0.796	M
annotation	00:00:25.612	00:00:26.012	0.399	G
annotation	00:00:26.012	00:00:26.479	0.467	M
annotation	00:00:26.479	00:00:26.842	0.363	G
annotation	00:00:26.842	00:00:27.321	0.479	R
annotation	00:00:27.321	00:00:27.820	0.499	S
annotation	00:00:27.820	00:00:28.180	0.360	S^
annotation	00:00:28.180	00:00:28.546	0.366	S^
annotation	00:00:28.546	00:00:28.981	0.435	D
annotation	00:00:28.981	00:00:29.773	0.792	D
annotation	00:00:29.773	00:00:30.168	0.395	M
annotation	00:00:30.168	00:00:30.575	0.407	D
annotation	00:00:30.575	00:00:30.982	0.407	D
annotation	00:00:30.982	00:00:31.361	0.379	M
annotation	00:00:31.361	00:00:32.171	0.810	G
annotation	00:00:32.171	00:00:32.586	0.415	R
annotation	00:00:32.586	00:00:33.023	0.437	G
annotation	00:00:33.023	00:00:33.459	0.437	M
annotation	00:00:33.459	00:00:33.853	0.394	R
annotation	00:00:33.853	00:00:34.247	0.394	G
annotation	00:00:34.247	00:00:34.658	0.412	S
annotation	00:00:34.658	00:00:35.070	0.412	R
annotation	00:00:35.070	00:00:35.500	0.430	G
annotation	00:00:35.500	00:00:36.292	0.792	M
annotation	00:00:36.292	00:00:36.641	0.349	M
annotation	00:00:36.641	00:00:37.038	0.397	D
annotation	00:00:37.038	00:00:37.416	0.378	M
annotation	00:00:37.416	00:00:37.811	0.396	G
annotation	00:00:37.811	00:00:38.159	0.347	R
annotation	00:00:38.159	00:00:38.567	0.408	G
annotation	00:00:38.567	00:00:38.939	0.372	M
annotation	00:00:38.939	00:00:39.330	0.391	D
annotation	00:00:39.330	00:00:39.720	0.390	D
annotation	00:00:39.720	00:00:40.620	0.900	S^
annotation	00:00:40.620	00:00:40.974	0.354	D
annotation	00:00:40.974	00:00:41.380	0.406	S^
annotation	00:00:41.380	00:00:41.720	0.340	R^
annotation	00:00:41.720	00:00:42.501	0.781	S^
annotation	00:00:42.501	00:00:42.945	0.445	R^
annotation	00:00:42.946	00:00:43.300	0.355	G
annotation	00:00:43.300	00:00:43.655	0.355	M^
annotation	00:00:43.656	00:00:44.113	0.457	R^
annotation	00:00:44.113	00:00:45.000	0.887	G^
annotation	00:00:45.000	00:00:45.356	0.356	M
annotation	00:00:45.356	00:00:45.770	0.415	G^
annotation	00:00:45.770	00:00:46.185	0.415	G^
annotation	00:00:46.185	00:00:46.524	0.339	R^
annotation	00:00:46.524	00:00:46.863	0.339	S^
annotation	00:00:46.863	00:00:47.278	0.415	R^
annotation	00:00:47.278	00:00:47.693	0.415	G^
annotation	00:00:47.693	00:00:48.042	0.349	R^
annotation	00:00:48.042	00:00:48.438	0.397	S^
annotation	00:00:48.438	00:00:48.810	0.371	R^
annotation	00:00:48.810	00:00:49.181	0.371	D
annotation	00:00:49.181	00:00:49.549	0.368	R^
annotation	00:00:49.549	00:00:49.920	0.371	S^
annotation	00:00:49.920	00:00:50.286	0.367	S^
annotation	00:00:50.286	00:00:50.656	0.370	D
annotation	00:00:50.656	00:00:51.098	0.441	M
annotation	00:00:51.098	00:00:51.501	0.404	D
annotation	00:00:51.501	00:00:51.900	0.399	M
annotation	00:00:51.900	00:00:52.261	0.361	G
annotation	00:00:52.261	00:00:52.634	0.373	R
annotation	00:00:52.634	00:00:53.007	0.373	S
annotation	00:00:53.007	00:00:53.281	0.273	R
annotation	00:00:53.281	00:00:53.661	0.380	G
annotation	00:00:53.661	00:00:54.041	0.380	M
annotation	00:00:54.041	00:00:54.761	0.720	R
annotation	00:00:54.761	00:00:55.161	0.401	G
annotation	00:00:55.161	00:00:55.521	0.360	S
annotation	00:00:55.521	00:00:55.902	0.380	R
annotation	00:00:55.902	00:00:56.279	0.377	G
annotation	00:00:56.279	00:00:57.067	0.788	S
annotation	00:00:57.067	00:00:57.501	0.434	R
annotation	00:00:57.501	00:00:57.861	0.360	S
annotation	00:00:57.861	00:00:58.248	0.387	D
annotation	00:00:58.248	00:00:58.679	0.432	M
annotation	00:00:58.679	00:00:59.141	0.461	D
annotation	00:00:59.141	00:00:59.483	0.342	S
annotation	00:00:59.483	00:00:59.881	0.398	D
annotation	00:00:59.881	00:01:00.261	0.380	S
annotation	00:01:00.261	00:01:01.068	0.807	R
annotation	00:01:01.068	00:01:01.521	0.453	R
annotation	00:01:01.521	00:01:01.881	0.360	G
annotation	00:01:01.881	00:01:02.302	0.421	S
annotation	00:01:02.302	00:01:02.641	0.340	R
annotation	00:01:02.641	00:01:03.399	0.758	M
annotation	00:01:03.399	00:01:03.799	0.401	D
annotation	00:01:03.799	00:01:04.162	0.363	M
annotation	00:01:04.162	00:01:04.539	0.377	G
annotation	00:01:04.539	00:01:04.920	0.380	R
annotation	00:01:04.920	00:01:05.320	0.401	S
annotation	00:01:05.320	00:01:05.660	0.340	R
annotation	00:01:05.660	00:01:06.020	0.360	G
annotation	00:01:06.020	00:01:06.420	0.401	M
annotation	00:01:06.420	00:01:07.160	0.740	G
annotation	00:01:07.160	00:01:07.561	0.401	M
annotation	00:01:07.561	00:01:07.921	0.360	D
annotation	00:01:07.921	00:01:08.316	0.395	M
annotation	00:01:08.316	00:01:08.763	0.447	D
annotation	00:01:08.763	00:01:09.581	0.818	S^
annotation	00:01:09.581	00:01:09.939	0.358	R^
annotation	00:01:09.939	00:01:10.341	0.403	G^
annotation	00:01:10.341	00:01:10.739	0.398	S^
annotation	00:01:10.739	00:01:11.099	0.360	R^
annotation	00:01:11.099	00:01:11.500	0.401	G^
annotation	00:01:11.500	00:01:11.920	0.421	M^
