Tier	Begin time	End time	Duration	Annotation
annotation	00:00:17.552	00:00:17.918	0.365	D
annotation	00:00:17.918	00:00:18.283	0.365	P
annotation	00:00:18.283	00:00:19.014	0.731	M
annotation	00:00:19.014	00:00:19.380	0.366	G
annotation	00:00:19.380	00:00:19.745	0.366	R
annotation	00:00:19.745	00:00:20.476	0.731	S
annotation	00:00:20.476	00:00:20.842	0.365	R
annotation	00:00:20.842	00:00:21.207	0.365	N
annotation	00:00:21.207	00:00:21.573	0.366	D
annotation	00:00:21.573	00:00:21.938	0.366	D
annotation	00:00:21.938	00:00:22.304	0.366	P
annotation	00:00:22.304	00:00:22.669	0.366	P
annotation	00:00:22.669	00:00:23.551	0.881	S
annotation	00:00:23.551	00:00:24.281	0.731	S
annotation	00:00:24.282	00:00:24.647	0.366	N
annotation	00:00:24.647	00:00:25.013	0.366	S
annotation	00:00:25.013	00:00:25.378	0.366	G
annotation	00:00:25.378	00:00:25.744	0.366	R
annotation	00:00:25.744	00:00:26.475	0.731	G
annotation	00:00:26.475	00:00:27.206	0.731	M
annotation	00:00:27.206	00:00:27.937	0.731	M
annotation	00:00:27.937	00:00:28.302	0.366	G
annotation	00:00:28.302	00:00:28.668	0.366	R
annotation	00:00:28.668	00:00:29.033	0.365	G
annotation	00:00:29.033	00:00:29.399	0.365	M
annotation	00:00:41.318	00:00:42.049	0.731	P
annotation	00:00:42.049	00:00:42.415	0.366	M
annotation	00:00:42.415	00:00:43.146	0.731	D
annotation	00:00:43.146	00:00:43.511	0.366	P
annotation	00:00:43.511	00:00:43.877	0.366	S^
annotation	00:00:43.877	00:00:44.242	0.366	N
annotation	00:00:44.242	00:00:44.608	0.365	D
annotation	00:00:44.608	00:00:44.973	0.365	P
annotation	00:00:44.973	00:00:45.339	0.366	S^
annotation	00:00:45.339	00:00:45.704	0.366	N
annotation	00:00:45.704	00:00:46.070	0.366	D
annotation	00:00:46.070	00:00:46.435	0.366	R^
annotation	00:00:46.435	00:00:47.278	0.843	S^
annotation	00:00:47.278	00:00:47.616	0.338	P
annotation	00:00:47.616	00:00:47.981	0.365	D
annotation	00:00:47.981	00:00:48.347	0.366	P
annotation	00:00:48.347	00:00:49.078	0.731	N
annotation	00:00:49.078	00:00:49.809	0.731	D
annotation	00:00:49.809	00:00:50.174	0.366	P
annotation	00:00:50.174	00:00:50.905	0.731	M
annotation	00:00:50.905	00:00:51.636	0.731	G
annotation	00:00:51.636	00:00:52.002	0.366	R
annotation	00:00:52.002	00:00:52.368	0.366	G
annotation	00:00:52.368	00:00:52.781	0.414	M
annotation	00:00:52.781	00:00:53.098	0.317	P
annotation	00:01:04.842	00:01:05.573	0.731	S
annotation	00:01:05.573	00:01:05.939	0.366	D
annotation	00:01:05.939	00:01:06.304	0.366	D
annotation	00:01:06.304	00:01:06.670	0.366	P
annotation	00:01:06.670	00:01:07.035	0.366	N
annotation	00:01:07.035	00:01:07.401	0.366	N
annotation	00:01:07.401	00:01:07.766	0.366	D
annotation	00:01:07.766	00:01:08.132	0.365	M
annotation	00:01:08.132	00:01:08.497	0.365	P
annotation	00:01:08.497	00:01:08.863	0.366	D
annotation	00:01:08.863	00:01:09.228	0.366	N
annotation	00:01:09.228	00:01:09.594	0.366	D
annotation	00:01:09.594	00:01:09.959	0.366	P
annotation	00:01:09.959	00:01:10.722	0.762	M
annotation	00:01:10.722	00:01:11.078	0.356	G
annotation	00:01:11.078	00:01:11.435	0.356	R
annotation	00:01:11.435	00:01:11.791	0.356	S
annotation	00:01:11.791	00:01:12.147	0.356	M
annotation	00:01:12.147	00:01:12.504	0.356	G
annotation	00:01:12.504	00:01:12.860	0.356	M
annotation	00:01:12.860	00:01:13.217	0.356	R
annotation	00:01:13.217	00:01:13.573	0.356	G
annotation	00:01:13.573	00:01:13.930	0.356	M
annotation	00:01:13.930	00:01:14.286	0.356	P
annotation	00:01:14.286	00:01:14.643	0.356	P
annotation	00:01:14.643	00:01:14.999	0.356	D
annotation	00:01:14.999	00:01:16.425	1.426	M
annotation	00:01:16.425	00:01:16.785	0.360	P
annotation	00:01:16.785	00:01:17.506	0.720	D
annotation	00:01:17.506	00:01:17.866	0.360	D
annotation	00:01:17.866	00:01:18.226	0.360	P
annotation	00:01:18.226	00:01:18.586	0.360	M
annotation	00:01:18.586	00:01:18.946	0.360	M
annotation	00:01:18.946	00:01:19.667	0.720	P
annotation	00:01:19.667	00:01:20.027	0.360	P
annotation	00:01:20.027	00:01:20.387	0.360	M
annotation	00:01:20.387	00:01:20.747	0.360	G
annotation	00:01:20.747	00:01:21.108	0.360	R
annotation	00:01:21.108	00:01:21.468	0.360	G
annotation	00:01:21.468	00:01:21.828	0.360	M
annotation	00:01:21.828	00:01:22.188	0.360	P
annotation	00:01:22.188	00:01:22.554	0.365	M
annotation	00:01:22.554	00:01:23.285	0.731	D
annotation	00:01:23.285	00:01:23.650	0.366	P
annotation	00:01:23.650	00:01:24.016	0.366	S^
annotation	00:01:24.016	00:01:24.381	0.366	N
annotation	00:01:24.381	00:01:24.747	0.366	D
annotation	00:01:24.747	00:01:25.112	0.366	P
annotation	00:01:25.112	00:01:25.478	0.365	S^
annotation	00:01:25.478	00:01:25.843	0.365	N
annotation	00:01:25.843	00:01:26.201	0.357	D
annotation	00:01:26.201	00:01:26.574	0.374	R^
annotation	00:01:26.574	00:01:28.130	1.556	S^
annotation	00:01:28.130	00:01:28.540	0.410	P
annotation	00:01:28.540	00:01:28.861	0.321	D
annotation	00:01:28.861	00:01:29.227	0.366	P
annotation	00:01:29.227	00:01:29.592	0.366	S^
annotation	00:01:29.592	00:01:29.980	0.387	N
annotation	00:01:29.980	00:01:30.323	0.344	S^
annotation	00:01:30.323	00:01:30.689	0.366	G^
annotation	00:01:30.689	00:01:31.054	0.366	R^
annotation	00:01:31.054	00:01:31.420	0.365	G^
annotation	00:01:31.420	00:01:31.785	0.365	M^
annotation	00:01:31.785	00:01:32.151	0.366	G^
annotation	00:01:32.151	00:01:32.516	0.366	M^
annotation	00:01:32.516	00:01:33.247	0.731	R^
annotation	00:01:33.247	00:01:33.720	0.472	P^
annotation	00:01:33.720	00:01:34.192	0.472	M^
annotation	00:01:34.192	00:01:35.320	1.128	R^
annotation	00:01:35.320	00:01:35.660	0.340	R^
annotation	00:01:35.660	00:01:36.013	0.353	S^
annotation	00:01:36.013	00:01:36.377	0.364	N
annotation	00:01:36.377	00:01:36.741	0.364	D
annotation	00:01:36.741	00:01:37.105	0.364	D
annotation	00:01:37.105	00:01:37.469	0.364	P
annotation	00:01:37.469	00:01:38.198	0.728	S^
annotation	00:01:38.198	00:01:38.562	0.364	N
annotation	00:01:38.562	00:01:38.926	0.364	D
annotation	00:01:38.926	00:01:39.290	0.364	N
annotation	00:01:39.290	00:01:39.654	0.364	S^
annotation	00:01:39.654	00:01:40.019	0.364	R
annotation	00:01:40.019	00:01:40.369	0.350	R^
annotation	00:01:40.369	00:01:41.069	0.700	S^
annotation	00:01:41.069	00:01:41.420	0.350	N
annotation	00:01:41.420	00:01:41.770	0.350	D
annotation	00:01:41.770	00:01:42.120	0.350	P
annotation	00:01:42.120	00:01:42.470	0.350	D
annotation	00:01:42.470	00:01:43.171	0.700	M
annotation	00:01:43.171	00:01:43.521	0.350	G
annotation	00:01:43.521	00:01:43.871	0.350	M
annotation	00:01:43.871	00:01:44.222	0.350	R
annotation	00:01:44.222	00:01:44.572	0.350	G
annotation	00:01:44.572	00:01:44.922	0.350	M
annotation	00:01:44.922	00:01:45.272	0.350	P
annotation	00:01:45.272	00:01:45.623	0.350	D
annotation	00:01:45.623	00:01:45.987	0.364	P
annotation	00:01:45.987	00:01:46.714	0.728	S^
annotation	00:01:46.714	00:01:47.078	0.364	P
annotation	00:01:47.078	00:01:47.442	0.364	D
annotation	00:01:47.442	00:01:47.806	0.364	P
annotation	00:01:47.806	00:01:48.533	0.728	N
annotation	00:01:48.533	00:01:48.897	0.364	D
annotation	00:01:48.897	00:01:49.261	0.364	P
annotation	00:01:49.261	00:01:49.625	0.364	M
annotation	00:01:49.625	00:01:49.989	0.364	G
annotation	00:01:49.989	00:01:50.352	0.364	R
annotation	00:01:50.352	00:01:50.716	0.364	G
annotation	00:01:50.716	00:01:51.080	0.364	M
annotation	00:01:51.080	00:01:51.444	0.364	P
annotation	00:01:51.444	00:01:52.172	0.728	D
annotation	00:01:52.172	00:01:52.536	0.364	P
annotation	00:01:52.536	00:01:53.264	0.728	M
annotation	00:01:53.264	00:01:53.628	0.364	D
