Tier	Begin time	End time	Duration	Annotation
annotation	00:00:08.919	00:00:09.380	0.461	S
annotation	00:00:09.380	00:00:10.167	0.787	S
annotation	00:00:10.167	00:00:10.537	0.370	S
annotation	00:00:10.537	00:00:10.921	0.384	N
annotation	00:00:10.921	00:00:11.319	0.399	D
annotation	00:00:11.319	00:00:11.720	0.401	R
annotation	00:00:11.720	00:00:12.154	0.434	S
annotation	00:00:12.154	00:00:12.571	0.418	N
annotation	00:00:12.571	00:00:12.959	0.388	N
annotation	00:00:12.959	00:00:13.402	0.442	D
annotation	00:00:13.402	00:00:13.781	0.379	D
annotation	00:00:13.781	00:00:14.220	0.440	P
annotation	00:00:14.220	00:00:14.627	0.406	M
annotation	00:00:14.627	00:00:15.034	0.407	G
annotation	00:00:15.034	00:00:15.441	0.407	M
annotation	00:00:15.441	00:00:15.859	0.418	P
annotation	00:00:15.859	00:00:16.219	0.360	D
annotation	00:00:16.219	00:00:16.602	0.383	N
annotation	00:00:16.602	00:00:17.441	0.839	D
annotation	00:00:17.441	00:00:17.841	0.401	R
annotation	00:00:17.841	00:00:18.243	0.402	S
annotation	00:00:18.243	00:00:18.639	0.396	N
annotation	00:00:18.639	00:00:19.080	0.441	D
annotation	00:00:19.080	00:00:19.433	0.353	P
annotation	00:00:19.433	00:00:19.857	0.424	M
annotation	00:00:19.857	00:00:20.281	0.424	G
annotation	00:00:20.281	00:00:20.708	0.427	M
annotation	00:00:20.708	00:00:21.179	0.471	P
annotation	00:00:21.179	00:00:21.498	0.319	D
annotation	00:00:21.498	00:00:21.960	0.461	N
annotation	00:00:21.960	00:00:22.346	0.386	S
annotation	00:00:22.346	00:00:22.759	0.413	R
annotation	00:00:22.759	00:00:23.181	0.423	G
annotation	00:00:23.181	00:00:23.640	0.459	R
annotation	00:00:23.640	00:00:24.021	0.380	S
annotation	00:00:24.021	00:00:24.443	0.423	N
annotation	00:00:24.443	00:00:24.839	0.396	S
annotation	00:00:24.839	00:00:25.240	0.401	R
annotation	00:00:25.240	00:00:25.600	0.360	S
annotation	00:00:25.600	00:00:26.053	0.453	N
annotation	00:00:26.053	00:00:26.482	0.429	R
annotation	00:00:26.482	00:00:26.900	0.418	S
annotation	00:00:26.900	00:00:27.291	0.392	N
annotation	00:00:27.291	00:00:27.701	0.409	D
annotation	00:00:27.701	00:00:28.086	0.385	N
annotation	00:00:28.086	00:00:28.519	0.434	D
annotation	00:00:28.519	00:00:30.951	2.431	N
annotation	00:00:30.951	00:00:31.300	0.349	S
annotation	00:00:31.300	00:00:31.741	0.441	N
annotation	00:00:31.741	00:00:32.122	0.381	D
annotation	00:00:32.122	00:00:32.503	0.381	P
annotation	00:00:32.503	00:00:32.906	0.403	M
annotation	00:00:32.906	00:00:33.308	0.403	G
annotation	00:00:33.308	00:00:33.716	0.408	M
annotation	00:00:33.716	00:00:34.124	0.408	P
annotation	00:00:34.124	00:00:34.528	0.404	D
annotation	00:00:34.528	00:00:34.899	0.371	N
annotation	00:00:34.899	00:00:35.714	0.815	P
annotation	00:00:35.714	00:00:36.112	0.398	M
annotation	00:00:36.112	00:00:36.511	0.398	G
annotation	00:00:36.511	00:00:36.919	0.408	N
annotation	00:00:36.919	00:00:37.727	0.808	D
annotation	00:00:37.727	00:00:38.127	0.400	G
annotation	00:00:38.127	00:00:38.460	0.333	D
annotation	00:00:38.460	00:00:39.252	0.792	P
annotation	00:00:39.252	00:00:39.634	0.382	M
annotation	00:00:39.634	00:00:40.026	0.392	G
annotation	00:00:40.026	00:00:40.419	0.392	R
annotation	00:00:40.419	00:00:40.782	0.363	S
annotation	00:00:40.782	00:00:41.145	0.363	N
annotation	00:00:41.145	00:00:41.540	0.395	S
annotation	00:00:41.540	00:00:41.880	0.340	R
annotation	00:00:41.880	00:00:42.300	0.421	G
annotation	00:00:42.300	00:00:43.492	1.192	M
annotation	00:00:43.493	00:00:43.897	0.404	G
annotation	00:00:43.897	00:00:44.301	0.404	M
annotation	00:00:44.301	00:00:44.645	0.345	P
annotation	00:00:44.645	00:00:45.322	0.677	G
annotation	00:00:45.322	00:00:45.760	0.438	M
annotation	00:00:45.760	00:00:46.121	0.360	N
annotation	00:00:46.121	00:00:46.518	0.398	D
annotation	00:00:46.518	00:00:46.930	0.412	N
annotation	00:00:46.930	00:00:47.319	0.389	P
annotation	00:00:47.319	00:00:47.745	0.427	D
annotation	00:00:47.745	00:00:48.149	0.404	N
annotation	00:00:48.149	00:00:48.520	0.371	S
annotation	00:00:48.520	00:00:49.278	0.758	R
annotation	00:00:49.278	00:00:49.699	0.421	S
annotation	00:00:49.699	00:00:50.041	0.342	R
annotation	00:00:50.041	00:00:50.495	0.454	G
annotation	00:00:50.495	00:00:50.885	0.390	S
annotation	00:00:50.885	00:00:51.298	0.413	R
annotation	00:00:51.298	00:00:51.681	0.383	G
annotation	00:00:51.681	00:00:52.079	0.398	R
annotation	00:00:52.079	00:00:52.467	0.388	S
annotation	00:00:52.467	00:00:52.855	0.388	N
annotation	00:00:52.855	00:00:53.284	0.429	D
annotation	00:00:53.284	00:00:53.713	0.429	N
annotation	00:00:53.713	00:00:54.119	0.406	D
annotation	00:00:54.119	00:00:54.462	0.343	G
annotation	00:00:54.462	00:00:54.874	0.412	R
annotation	00:00:54.874	00:00:55.285	0.412	S
annotation	00:00:55.285	00:00:55.665	0.379	N
annotation	00:00:55.665	00:00:56.041	0.376	D
annotation	00:00:56.041	00:00:56.459	0.418	P
annotation	00:00:56.459	00:00:56.819	0.360	N
annotation	00:00:56.819	00:00:57.260	0.441	D
annotation	00:00:57.260	00:00:57.670	0.410	P
annotation	00:00:57.670	00:00:58.041	0.371	M
annotation	00:00:58.041	00:00:58.438	0.398	G
annotation	00:00:58.438	00:00:58.798	0.360	M
annotation	00:00:58.798	00:00:59.244	0.446	P
annotation	00:00:59.244	00:00:59.620	0.376	D
