Tier	Begin time	End time	Duration	Annotation
annotation	00:00:01.161	00:00:01.518	0.356	S
annotation	00:00:01.518	00:00:02.230	0.713	S
annotation	00:00:02.230	00:00:02.587	0.356	S
annotation	00:00:02.587	00:00:02.943	0.356	N
annotation	00:00:02.943	00:00:03.340	0.397	D
annotation	00:00:03.340	00:00:03.656	0.316	R
annotation	00:00:03.656	00:00:04.012	0.356	S
annotation	00:00:04.012	00:00:04.369	0.356	N
annotation	00:00:04.369	00:00:04.725	0.356	N
annotation	00:00:04.725	00:00:05.081	0.356	D
annotation	00:00:05.081	00:00:05.438	0.356	D
annotation	00:00:05.438	00:00:05.794	0.356	P
annotation	00:00:05.794	00:00:06.150	0.356	M
annotation	00:00:06.150	00:00:06.507	0.356	G
annotation	00:00:06.507	00:00:06.863	0.356	M
annotation	00:00:06.863	00:00:07.239	0.376	P
annotation	00:00:07.239	00:00:07.614	0.376	D
annotation	00:00:07.614	00:00:07.990	0.376	N
annotation	00:00:07.990	00:00:08.741	0.751	D
annotation	00:00:08.741	00:00:09.116	0.376	R
annotation	00:00:09.116	00:00:09.492	0.376	S
annotation	00:00:09.492	00:00:09.867	0.376	N
annotation	00:00:09.867	00:00:10.243	0.376	D
annotation	00:00:10.243	00:00:10.619	0.376	P
annotation	00:00:10.619	00:00:10.980	0.361	M
annotation	00:00:10.980	00:00:11.370	0.390	G
annotation	00:00:11.370	00:00:11.745	0.376	M
annotation	00:00:11.745	00:00:12.121	0.376	P
annotation	00:00:12.121	00:00:12.496	0.376	D
annotation	00:00:12.496	00:00:12.872	0.376	N
annotation	00:00:23.677	00:00:24.034	0.357	S
annotation	00:00:24.034	00:00:24.391	0.357	R
annotation	00:00:24.391	00:00:24.747	0.357	G
annotation	00:00:24.747	00:00:25.104	0.357	R
annotation	00:00:25.104	00:00:25.461	0.357	S
annotation	00:00:25.461	00:00:25.817	0.357	N
annotation	00:00:25.817	00:00:26.200	0.383	S
annotation	00:00:26.200	00:00:26.531	0.330	R
annotation	00:00:26.531	00:00:26.887	0.357	S
annotation	00:00:26.887	00:00:27.260	0.372	N
annotation	00:00:27.260	00:00:27.599	0.340	R
annotation	00:00:27.599	00:00:27.957	0.358	S
annotation	00:00:27.957	00:00:28.314	0.357	N
annotation	00:00:28.314	00:00:28.671	0.357	D
annotation	00:00:28.671	00:00:29.028	0.357	N
annotation	00:00:29.028	00:00:29.384	0.357	D
annotation	00:00:29.384	00:00:31.407	2.023	N
annotation	00:00:31.407	00:00:31.745	0.337	S
annotation	00:00:31.745	00:00:32.082	0.337	N
annotation	00:00:32.082	00:00:32.419	0.337	D
annotation	00:00:32.419	00:00:32.756	0.337	P
annotation	00:00:32.756	00:00:33.093	0.337	M
annotation	00:00:33.093	00:00:33.430	0.337	G
annotation	00:00:33.430	00:00:33.768	0.337	M
annotation	00:00:33.768	00:00:34.105	0.337	P
annotation	00:00:34.105	00:00:34.442	0.337	D
annotation	00:00:34.442	00:00:34.779	0.337	N
annotation	00:00:34.779	00:00:35.469	0.690	P
annotation	00:00:35.469	00:00:35.815	0.345	M
annotation	00:00:35.815	00:00:36.160	0.345	G
annotation	00:00:36.160	00:00:36.505	0.345	N
annotation	00:00:36.505	00:00:37.195	0.690	D
annotation	00:00:37.195	00:00:37.540	0.345	G
annotation	00:00:37.540	00:00:37.885	0.345	D
annotation	00:00:37.885	00:00:38.576	0.690	P
annotation	00:00:38.576	00:00:38.921	0.345	M
annotation	00:00:38.921	00:00:39.266	0.345	G
annotation	00:00:39.266	00:00:39.611	0.345	R
annotation	00:00:39.611	00:00:39.956	0.345	S
annotation	00:00:39.956	00:00:40.301	0.345	N
annotation	00:00:40.301	00:00:40.643	0.342	S
annotation	00:00:40.643	00:00:40.984	0.342	R
annotation	00:00:40.984	00:00:41.326	0.342	G
annotation	00:00:41.326	00:00:42.351	1.025	M
annotation	00:00:42.351	00:00:42.692	0.342	G
annotation	00:00:42.692	00:00:43.034	0.342	M
annotation	00:00:43.034	00:00:43.376	0.342	P
annotation	00:00:43.376	00:00:44.059	0.683	G
annotation	00:00:44.059	00:00:44.401	0.342	M
annotation	00:00:44.401	00:00:44.742	0.342	N
annotation	00:00:44.742	00:00:45.084	0.342	D
annotation	00:00:45.084	00:00:45.425	0.342	N
annotation	00:00:45.425	00:00:45.767	0.342	P
annotation	00:00:45.767	00:00:46.112	0.345	D
annotation	00:00:46.112	00:00:46.457	0.345	N
annotation	00:00:46.457	00:00:46.803	0.345	S
annotation	00:00:46.803	00:00:47.493	0.690	R
annotation	00:00:47.493	00:00:47.838	0.345	S
annotation	00:00:47.838	00:00:48.184	0.345	R
annotation	00:00:48.184	00:00:48.529	0.345	G
annotation	00:00:48.529	00:00:48.874	0.345	S
annotation	00:00:48.874	00:00:49.240	0.366	R
annotation	00:00:49.240	00:00:49.565	0.324	G
annotation	00:00:49.565	00:00:49.910	0.345	R
annotation	00:00:49.910	00:00:50.255	0.345	S
annotation	00:00:50.255	00:00:50.600	0.345	N
annotation	00:00:50.600	00:00:50.982	0.381	D
annotation	00:00:50.982	00:00:51.291	0.309	N
annotation	00:00:51.291	00:00:51.636	0.345	D
annotation	00:00:51.636	00:00:51.981	0.345	G
annotation	00:00:51.981	00:00:52.326	0.345	R
annotation	00:00:52.326	00:00:52.671	0.345	S
annotation	00:00:52.671	00:00:53.016	0.345	N
annotation	00:00:53.016	00:00:53.360	0.345	D
annotation	00:00:53.361	00:00:53.705	0.345	P
annotation	00:00:53.705	00:00:54.050	0.345	N
annotation	00:00:54.050	00:00:54.360	0.310	D
annotation	00:00:54.360	00:00:54.740	0.380	P
annotation	00:00:54.740	00:00:55.085	0.345	M
annotation	00:00:55.085	00:00:55.430	0.345	G
annotation	00:00:55.430	00:00:55.775	0.345	M
annotation	00:00:55.775	00:00:56.120	0.345	P
annotation	00:00:56.120	00:00:56.465	0.345	D
annotation	00:00:56.465	00:00:56.810	0.345	N
annotation	00:00:56.810	00:00:57.155	0.345	S
annotation	00:00:57.155	00:00:57.846	0.691	R
annotation	00:00:57.846	00:00:58.191	0.345	N
annotation	00:00:58.191	00:00:58.537	0.345	S
annotation	00:00:58.537	00:00:58.882	0.345	N
annotation	00:00:58.882	00:00:59.227	0.345	D
annotation	00:00:59.227	00:00:59.918	0.691	N
annotation	00:00:59.918	00:01:00.263	0.345	S
annotation	00:01:00.263	00:01:00.608	0.345	N
annotation	00:01:00.608	00:01:00.954	0.345	D
annotation	00:01:00.954	00:01:01.299	0.345	P
annotation	00:01:01.299	00:01:01.644	0.345	M
annotation	00:01:01.644	00:01:01.989	0.345	G
annotation	00:01:01.989	00:01:02.335	0.345	R
annotation	00:01:02.335	00:01:02.684	0.349	S
annotation	00:01:02.684	00:01:03.032	0.349	R
annotation	00:01:03.032	00:01:03.381	0.349	S
annotation	00:01:03.381	00:01:04.079	0.698	P
annotation	00:01:04.079	00:01:04.427	0.349	M
annotation	00:01:04.427	00:01:05.125	0.698	D
annotation	00:01:05.125	00:01:05.474	0.349	P
annotation	00:01:05.474	00:01:05.822	0.349	N
annotation	00:01:05.822	00:01:06.171	0.349	D
annotation	00:01:06.171	00:01:06.520	0.349	R
annotation	00:01:06.520	00:01:06.869	0.349	S
annotation	00:01:06.869	00:01:07.217	0.349	N
annotation	00:01:07.217	00:01:07.566	0.349	D
annotation	00:01:07.566	00:01:07.915	0.349	N
annotation	00:01:07.915	00:01:08.249	0.334	D
annotation	00:01:08.249	00:01:08.583	0.334	G
annotation	00:01:08.583	00:01:08.917	0.334	R
annotation	00:01:08.917	00:01:09.585	0.668	N
annotation	00:01:09.585	00:01:09.919	0.334	R
annotation	00:01:09.919	00:01:10.586	0.668	N
annotation	00:01:10.586	00:01:10.960	0.373	S
