Tier	Begin time	End time	Duration	Annotation
annotation	00:00:28.319	00:00:28.679	0.360	S
annotation	00:00:28.679	00:00:29.402	0.723	S
annotation	00:00:29.402	00:00:29.692	0.290	S
annotation	00:00:29.692	00:00:30.011	0.320	N
annotation	00:00:30.011	00:00:30.331	0.320	D
annotation	00:00:30.331	00:00:30.718	0.386	R
annotation	00:00:30.718	00:00:31.104	0.386	S
annotation	00:00:31.104	00:00:31.462	0.358	N
annotation	00:00:31.462	00:00:31.779	0.317	N
annotation	00:00:31.779	00:00:32.154	0.375	D
annotation	00:00:32.154	00:00:32.487	0.333	D
annotation	00:00:32.487	00:00:32.817	0.330	P
annotation	00:00:32.817	00:00:33.147	0.330	M
annotation	00:00:33.147	00:00:33.469	0.322	G
annotation	00:00:33.469	00:00:33.779	0.310	M
annotation	00:00:33.779	00:00:34.117	0.339	P
annotation	00:00:34.117	00:00:34.444	0.327	D
annotation	00:00:34.444	00:00:34.790	0.346	N
annotation	00:00:34.790	00:00:35.439	0.649	D
annotation	00:00:35.439	00:00:35.761	0.322	R
annotation	00:00:35.761	00:00:36.109	0.348	S
annotation	00:00:36.109	00:00:36.432	0.323	N
annotation	00:00:36.432	00:00:36.719	0.287	D
annotation	00:00:36.719	00:00:37.067	0.348	P
annotation	00:00:37.067	00:00:37.360	0.293	M
annotation	00:00:37.360	00:00:37.744	0.384	G
annotation	00:00:37.744	00:00:38.089	0.345	M
annotation	00:00:38.089	00:00:38.434	0.345	P
annotation	00:00:38.434	00:00:38.719	0.285	D
annotation	00:00:38.719	00:00:39.096	0.377	N
annotation	00:00:49.554	00:00:49.927	0.372	S
annotation	00:00:49.927	00:00:50.340	0.413	R
annotation	00:00:50.340	00:00:50.649	0.309	G
annotation	00:00:50.649	00:00:50.998	0.350	R
annotation	00:00:50.998	00:00:51.340	0.342	S
annotation	00:00:51.340	00:00:51.722	0.382	N
annotation	00:00:51.722	00:00:52.010	0.288	S
annotation	00:00:52.010	00:00:52.337	0.327	R
annotation	00:00:52.337	00:00:52.661	0.324	S
annotation	00:00:52.661	00:00:52.999	0.338	N
annotation	00:00:52.999	00:00:53.306	0.307	R
annotation	00:00:53.306	00:00:53.627	0.320	S
annotation	00:00:53.627	00:00:53.949	0.322	N
annotation	00:00:53.949	00:00:54.271	0.322	D
annotation	00:00:54.271	00:00:54.584	0.313	N
annotation	00:00:54.584	00:00:54.900	0.316	D
annotation	00:00:54.900	00:00:56.865	1.965	N
annotation	00:00:56.865	00:00:57.198	0.333	S
annotation	00:00:57.198	00:00:57.531	0.333	N
annotation	00:00:57.531	00:00:57.902	0.371	D
annotation	00:00:57.902	00:00:58.273	0.371	P
annotation	00:00:58.273	00:00:58.623	0.349	M
annotation	00:00:58.623	00:00:58.999	0.376	G
annotation	00:00:58.999	00:00:59.327	0.329	M
annotation	00:00:59.327	00:00:59.682	0.355	P
annotation	00:00:59.682	00:01:00.020	0.338	D
annotation	00:01:00.020	00:01:00.360	0.340	N
annotation	00:01:21.834	00:01:22.568	0.735	P
annotation	00:01:22.568	00:01:22.892	0.323	M
annotation	00:01:22.892	00:01:23.215	0.323	G
annotation	00:01:23.215	00:01:23.536	0.321	N
annotation	00:01:23.536	00:01:24.201	0.665	D
annotation	00:01:24.201	00:01:24.566	0.365	G
annotation	00:01:24.566	00:01:24.921	0.355	D
annotation	00:01:24.921	00:01:25.551	0.630	P
annotation	00:01:25.551	00:01:25.882	0.332	M
annotation	00:01:25.882	00:01:26.180	0.298	G
annotation	00:01:26.180	00:01:26.478	0.298	R
annotation	00:01:26.478	00:01:26.827	0.349	S
annotation	00:01:26.827	00:01:27.176	0.349	N
annotation	00:01:27.176	00:01:27.528	0.352	S
annotation	00:01:27.528	00:01:27.879	0.352	R
annotation	00:01:27.879	00:01:28.221	0.342	G
annotation	00:01:28.221	00:01:29.252	1.031	M
annotation	00:01:29.252	00:01:29.585	0.333	G
annotation	00:01:29.585	00:01:29.918	0.333	M
annotation	00:01:29.918	00:01:30.214	0.296	P
annotation	00:01:30.214	00:01:30.838	0.624	G
annotation	00:01:30.838	00:01:31.167	0.328	M
annotation	00:01:31.167	00:01:31.500	0.333	N
annotation	00:01:31.500	00:01:31.833	0.333	D
annotation	00:01:31.833	00:01:32.156	0.323	N
annotation	00:01:32.156	00:01:32.478	0.323	P
annotation	00:01:43.259	00:01:43.612	0.353	D
annotation	00:01:43.612	00:01:43.965	0.353	N
annotation	00:01:43.965	00:01:44.240	0.275	S
annotation	00:01:44.240	00:01:44.840	0.600	R
annotation	00:01:44.840	00:01:45.077	0.236	S
annotation	00:01:45.077	00:01:45.451	0.375	R
annotation	00:01:45.451	00:01:45.859	0.408	G
annotation	00:01:45.859	00:01:46.169	0.309	S
annotation	00:01:46.169	00:01:46.511	0.342	R
annotation	00:01:46.511	00:01:46.874	0.363	G
annotation	00:01:46.874	00:01:47.241	0.366	R
annotation	00:01:47.241	00:01:47.572	0.331	S
annotation	00:01:47.572	00:01:47.907	0.334	N
annotation	00:01:47.907	00:01:48.239	0.333	D
annotation	00:01:48.239	00:01:48.618	0.378	N
