Tier	Begin time	End time	Duration	Annotation
annotation	00:00:05.626	00:00:06.302	0.676	G
annotation	00:00:06.302	00:00:07.001	0.699	G
annotation	00:00:07.001	00:00:08.456	1.456	R
annotation	00:00:08.456	00:00:08.865	0.409	S
annotation	00:00:08.865	00:00:09.273	0.409	S
annotation	00:00:09.273	00:00:09.698	0.425	R
annotation	00:00:09.698	00:00:10.122	0.425	R
annotation	00:00:10.122	00:00:10.502	0.379	G
annotation	00:00:10.502	00:00:10.881	0.379	G
annotation	00:00:10.881	00:00:11.241	0.360	R
annotation	00:00:11.241	00:00:11.621	0.380	R
annotation	00:00:11.621	00:00:12.022	0.401	S
annotation	00:00:12.022	00:00:12.379	0.357	R
annotation	00:00:12.379	00:00:12.758	0.380	G
annotation	00:00:12.758	00:00:13.131	0.373	R
annotation	00:00:13.131	00:00:13.500	0.368	S
annotation	00:00:13.500	00:00:13.868	0.368	R
annotation	00:00:13.868	00:00:14.246	0.378	S
annotation	00:00:14.246	00:00:14.660	0.414	D
annotation	00:00:14.660	00:00:15.000	0.340	S
annotation	00:00:15.000	00:00:15.420	0.420	R
annotation	00:00:15.420	00:00:15.756	0.335	G
annotation	00:00:15.756	00:00:16.140	0.385	P
annotation	00:00:16.140	00:00:16.521	0.380	G
annotation	00:00:16.521	00:00:16.907	0.387	R
annotation	00:00:16.907	00:00:17.280	0.373	S
annotation	00:00:17.280	00:00:17.653	0.373	R
annotation	00:00:17.653	00:00:18.059	0.405	G
annotation	00:00:18.059	00:00:18.464	0.405	P
annotation	00:00:18.464	00:00:18.851	0.388	G
annotation	00:00:18.851	00:00:19.239	0.388	G
annotation	00:00:19.239	00:00:19.608	0.369	R
annotation	00:00:19.608	00:00:20.001	0.393	S
annotation	00:00:20.001	00:00:20.381	0.380	R
annotation	00:00:20.381	00:00:20.783	0.402	G
annotation	00:00:20.783	00:00:21.161	0.378	R
annotation	00:00:21.161	00:00:21.539	0.378	R
annotation	00:00:21.539	00:00:21.898	0.359	S
annotation	00:00:21.898	00:00:22.257	0.359	D
annotation	00:00:22.257	00:00:22.629	0.371	S
annotation	00:00:22.629	00:00:22.979	0.350	R
annotation	00:00:22.979	00:00:23.348	0.369	G
annotation	00:00:23.348	00:00:23.696	0.348	R
annotation	00:00:23.696	00:00:24.082	0.386	G
annotation	00:00:24.082	00:00:24.469	0.386	P
annotation	00:00:24.469	00:00:24.880	0.411	G
annotation	00:00:24.880	00:00:25.252	0.373	P
annotation	00:00:25.252	00:00:25.636	0.383	D
annotation	00:00:25.636	00:00:26.000	0.364	P
annotation	00:00:26.000	00:00:26.404	0.403	D
annotation	00:00:26.404	00:00:26.788	0.385	S^
