Tier	Begin time	End time	Duration	Annotation
annotation	00:00:02.140	00:00:02.540	0.399	G
annotation	00:00:02.540	00:00:02.911	0.371	G
annotation	00:00:02.911	00:00:03.686	0.775	R
annotation	00:00:03.686	00:00:03.876	0.190	S
annotation	00:00:03.876	00:00:04.066	0.190	S
annotation	00:00:04.066	00:00:04.256	0.190	R
annotation	00:00:04.256	00:00:04.446	0.190	R
annotation	00:00:04.446	00:00:04.640	0.194	G
annotation	00:00:04.640	00:00:04.833	0.194	G
annotation	00:00:04.833	00:00:05.017	0.183	R
annotation	00:00:05.017	00:00:05.160	0.143	R
annotation	00:00:05.160	00:00:05.365	0.205	S
annotation	00:00:05.365	00:00:05.530	0.165	R
annotation	00:00:05.530	00:00:05.708	0.178	G
annotation	00:00:05.708	00:00:05.921	0.212	R
annotation	00:00:05.921	00:00:06.067	0.146	S
annotation	00:00:06.067	00:00:06.247	0.180	R
annotation	00:00:06.247	00:00:06.418	0.171	S
annotation	00:00:06.418	00:00:06.579	0.161	D
annotation	00:00:06.579	00:00:06.780	0.200	S
annotation	00:00:06.780	00:00:06.998	0.218	R
annotation	00:00:06.998	00:00:07.201	0.203	G
annotation	00:00:07.201	00:00:07.404	0.203	P
annotation	00:00:07.404	00:00:07.597	0.193	G
annotation	00:00:07.597	00:00:07.791	0.193	R
annotation	00:00:07.791	00:00:07.984	0.193	S
annotation	00:00:07.984	00:00:08.177	0.193	R
annotation	00:00:13.996	00:00:14.222	0.225	G
annotation	00:00:14.222	00:00:14.376	0.154	P
annotation	00:00:14.376	00:00:14.561	0.185	G
annotation	00:00:14.561	00:00:14.820	0.258	G
annotation	00:00:14.820	00:00:14.969	0.149	R
annotation	00:00:14.969	00:00:15.157	0.188	S
annotation	00:00:15.157	00:00:15.301	0.145	R
annotation	00:00:15.301	00:00:15.525	0.224	G
annotation	00:00:15.525	00:00:15.706	0.181	R
annotation	00:00:15.706	00:00:15.887	0.181	R
annotation	00:00:15.887	00:00:16.071	0.184	S
annotation	00:00:16.071	00:00:16.256	0.184	D
annotation	00:00:16.256	00:00:16.448	0.192	S
annotation	00:00:16.448	00:00:16.640	0.192	R
annotation	00:00:16.640	00:00:16.822	0.181	G
annotation	00:00:16.822	00:00:17.003	0.181	R
annotation	00:00:17.003	00:00:17.193	0.190	G
annotation	00:00:17.193	00:00:17.382	0.190	P
