Tier	Begin time	End time	Duration	Annotation
annotation	00:00:10.714	00:00:11.442	0.728	G
annotation	00:00:11.442	00:00:12.170	0.728	G
annotation	00:00:12.170	00:00:13.627	1.456	R
annotation	00:00:13.627	00:00:13.991	0.364	S
annotation	00:00:13.991	00:00:14.355	0.364	S
annotation	00:00:14.355	00:00:14.719	0.364	R
annotation	00:00:14.719	00:00:15.083	0.364	R
annotation	00:00:15.083	00:00:15.447	0.364	G
annotation	00:00:15.447	00:00:15.811	0.364	G
annotation	00:00:15.811	00:00:16.175	0.364	R
annotation	00:00:16.175	00:00:16.539	0.364	R
annotation	00:00:16.539	00:00:16.925	0.386	S
annotation	00:00:16.925	00:00:17.311	0.386	R
annotation	00:00:17.311	00:00:17.698	0.386	G
annotation	00:00:17.698	00:00:18.059	0.361	R
annotation	00:00:18.059	00:00:18.471	0.412	S
annotation	00:00:18.471	00:00:18.857	0.386	R
annotation	00:00:18.857	00:00:19.244	0.386	S
annotation	00:00:19.244	00:00:19.630	0.386	D
annotation	00:00:19.630	00:00:20.017	0.386	S
annotation	00:00:20.017	00:00:20.403	0.386	R
annotation	00:00:20.403	00:00:20.789	0.386	G
annotation	00:00:20.789	00:00:21.176	0.386	P
annotation	00:00:21.176	00:00:21.562	0.386	G
annotation	00:00:21.562	00:00:21.949	0.386	R
annotation	00:00:21.949	00:00:22.335	0.386	S
annotation	00:00:22.335	00:00:22.722	0.386	R
annotation	00:00:33.746	00:00:34.097	0.351	G
annotation	00:00:34.097	00:00:34.448	0.351	P
annotation	00:00:34.448	00:00:34.798	0.351	G
annotation	00:00:34.798	00:00:35.149	0.351	G
annotation	00:00:35.149	00:00:35.500	0.351	R
annotation	00:00:35.500	00:00:35.851	0.351	S
annotation	00:00:35.851	00:00:36.202	0.351	R
annotation	00:00:36.202	00:00:36.552	0.351	G
annotation	00:00:36.552	00:00:36.903	0.351	R
annotation	00:00:36.903	00:00:37.254	0.351	R
annotation	00:00:37.254	00:00:37.605	0.351	S
annotation	00:00:37.605	00:00:37.956	0.351	D
annotation	00:00:37.956	00:00:38.307	0.351	S
annotation	00:00:38.307	00:00:38.657	0.351	R
annotation	00:00:38.657	00:00:39.008	0.351	G
annotation	00:00:39.008	00:00:39.359	0.351	R
