Tier	Begin time	End time	Duration	Annotation
annotation	00:00:09.663	00:00:10.359	0.696	G
annotation	00:00:10.359	00:00:10.919	0.560	G
annotation	00:00:10.919	00:00:12.306	1.388	R
annotation	00:00:12.306	00:00:12.676	0.369	S
annotation	00:00:12.676	00:00:13.045	0.369	S
annotation	00:00:13.045	00:00:13.410	0.365	R
annotation	00:00:13.410	00:00:13.775	0.365	R
annotation	00:00:13.775	00:00:14.101	0.326	G
annotation	00:00:14.101	00:00:14.428	0.326	G
annotation	00:00:14.428	00:00:14.785	0.358	R
annotation	00:00:14.785	00:00:15.142	0.357	R
annotation	00:00:15.142	00:00:15.508	0.366	S
annotation	00:00:15.508	00:00:15.873	0.365	R
annotation	00:00:15.873	00:00:16.200	0.327	G
annotation	00:00:16.200	00:00:16.527	0.327	R
annotation	00:00:16.527	00:00:16.807	0.280	S
annotation	00:00:16.807	00:00:17.086	0.280	R
annotation	00:00:17.086	00:00:17.409	0.323	S
annotation	00:00:17.409	00:00:17.731	0.323	D
annotation	00:00:17.731	00:00:18.050	0.318	S
annotation	00:00:18.050	00:00:18.368	0.318	R
annotation	00:00:18.368	00:00:18.693	0.324	G
annotation	00:00:18.693	00:00:19.017	0.324	P
annotation	00:00:19.017	00:00:19.343	0.326	G
annotation	00:00:19.343	00:00:19.669	0.326	R
annotation	00:00:19.669	00:00:20.001	0.332	S
annotation	00:00:20.001	00:00:20.320	0.319	R
annotation	00:00:34.762	00:00:35.021	0.259	G
annotation	00:00:35.021	00:00:35.280	0.259	P
annotation	00:00:35.280	00:00:35.585	0.305	G
annotation	00:00:35.585	00:00:35.889	0.305	G
annotation	00:00:35.889	00:00:36.223	0.334	R
annotation	00:00:36.223	00:00:36.557	0.334	S
annotation	00:00:36.557	00:00:36.858	0.301	R
annotation	00:00:36.858	00:00:37.158	0.301	G
annotation	00:00:37.158	00:00:37.489	0.330	R
annotation	00:00:37.489	00:00:37.819	0.330	R
annotation	00:00:37.819	00:00:38.139	0.320	S
annotation	00:00:38.139	00:00:38.460	0.322	D
annotation	00:00:38.460	00:00:38.794	0.334	S
annotation	00:00:38.794	00:00:39.122	0.328	R
annotation	00:00:39.122	00:00:39.450	0.328	G
annotation	00:00:39.450	00:00:39.771	0.321	R
annotation	00:00:39.771	00:00:40.074	0.303	G
annotation	00:00:40.074	00:00:40.376	0.303	P
annotation	00:00:40.376	00:00:40.728	0.352	G
annotation	00:00:40.728	00:00:41.080	0.352	P
annotation	00:00:41.080	00:00:41.409	0.328	D
annotation	00:00:41.409	00:00:41.737	0.328	P
annotation	00:00:41.737	00:00:42.120	0.383	D
annotation	00:00:42.120	00:00:42.488	0.368	S^
annotation	00:00:42.488	00:00:42.819	0.330	D
annotation	00:00:42.819	00:00:43.149	0.330	D
annotation	00:00:43.149	00:00:43.451	0.302	P
annotation	00:00:43.451	00:00:43.752	0.302	G
annotation	00:00:43.752	00:00:44.044	0.292	D
annotation	00:00:44.044	00:00:44.336	0.292	P
annotation	00:00:44.336	00:00:44.661	0.325	G
annotation	00:00:44.661	00:00:44.986	0.325	R
annotation	00:00:56.119	00:00:56.791	0.672	G
annotation	00:00:56.791	00:00:57.438	0.647	G
annotation	00:00:57.438	00:00:58.781	1.343	P
annotation	00:00:58.781	00:00:59.093	0.312	G
annotation	00:00:59.093	00:00:59.451	0.358	G
annotation	00:00:59.451	00:00:59.773	0.322	P
annotation	00:00:59.773	00:01:00.139	0.366	P
annotation	00:01:00.139	00:01:00.444	0.305	D
annotation	00:01:00.444	00:01:00.793	0.349	D
annotation	00:01:00.793	00:01:01.480	0.688	P
