Tier	Begin time	End time	Duration	Annotation
annotation	00:00:01.853	00:00:02.141	0.288	P
annotation	00:00:02.141	00:00:02.451	0.310	M
annotation	00:00:02.451	00:00:02.818	0.367	G
annotation	00:00:02.818	00:00:03.160	0.342	G
annotation	00:00:03.160	00:00:03.497	0.337	R
annotation	00:00:03.497	00:00:03.665	0.168	G
annotation	00:00:03.665	00:00:03.833	0.168	R
annotation	00:00:03.833	00:00:04.554	0.721	S
annotation	00:00:04.554	00:00:04.750	0.196	N_
annotation	00:00:04.750	00:00:04.980	0.230	S
annotation	00:00:04.980	00:00:05.121	0.141	R
annotation	00:00:05.121	00:00:05.296	0.175	G
annotation	00:00:05.296	00:00:05.471	0.176	R
annotation	00:00:05.471	00:00:05.647	0.176	S
annotation	00:00:05.647	00:00:05.832	0.185	N
annotation	00:00:05.832	00:00:06.017	0.185	S
annotation	00:00:06.017	00:00:06.185	0.168	D
annotation	00:00:06.185	00:00:06.353	0.168	P
annotation	00:00:06.353	00:00:06.535	0.182	M
annotation	00:00:06.535	00:00:06.717	0.182	D
annotation	00:00:06.717	00:00:06.897	0.180	D
annotation	00:00:06.897	00:00:07.099	0.202	N
annotation	00:00:07.099	00:00:07.258	0.159	S
annotation	00:00:07.258	00:00:07.439	0.180	R
annotation	00:00:07.439	00:00:07.607	0.169	P
annotation	00:00:07.607	00:00:07.776	0.169	M
annotation	00:00:07.776	00:00:07.941	0.165	G
annotation	00:00:07.941	00:00:08.105	0.165	M
annotation	00:00:08.105	00:00:08.282	0.177	R
annotation	00:00:08.282	00:00:08.459	0.177	G
annotation	00:00:08.459	00:00:08.623	0.164	R
annotation	00:00:08.623	00:00:08.948	0.324	S
annotation	00:00:08.948	00:00:09.108	0.160	R
annotation	00:00:09.108	00:00:09.277	0.169	G
annotation	00:00:09.277	00:00:09.447	0.169	M
annotation	00:00:09.447	00:00:09.617	0.170	P
annotation	00:00:09.617	00:00:09.786	0.170	M
annotation	00:00:09.786	00:00:09.967	0.180	D
annotation	00:00:09.967	00:00:10.147	0.180	D
annotation	00:00:10.147	00:00:10.321	0.174	N
annotation	00:00:10.321	00:00:10.474	0.154	N
annotation	00:00:10.474	00:00:10.681	0.206	S
annotation	00:00:10.681	00:00:11.041	0.360	P
annotation	00:00:11.041	00:00:11.159	0.118	R
annotation	00:00:11.159	00:00:11.335	0.176	G
annotation	00:00:11.335	00:00:11.511	0.176	G
annotation	00:00:11.511	00:00:11.707	0.196	M
annotation	00:00:11.707	00:00:11.903	0.196	D
annotation	00:00:11.903	00:00:12.100	0.197	P
annotation	00:00:12.100	00:00:12.260	0.160	P
annotation	00:00:12.260	00:00:12.440	0.180	M
annotation	00:00:12.440	00:00:12.621	0.180	G
annotation	00:00:12.621	00:00:12.804	0.183	M
annotation	00:00:12.804	00:00:12.986	0.183	R
annotation	00:00:24.144	00:00:24.335	0.191	D
annotation	00:00:24.335	00:00:24.499	0.164	N
annotation	00:00:24.499	00:00:24.720	0.221	D
annotation	00:00:24.720	00:00:24.864	0.144	D
annotation	00:00:24.864	00:00:25.002	0.138	P
annotation	00:00:25.002	00:00:25.199	0.198	P
annotation	00:00:25.199	00:00:25.369	0.170	D
annotation	00:00:25.369	00:00:25.539	0.170	P
annotation	00:00:25.539	00:00:25.708	0.169	P
annotation	00:00:25.708	00:00:25.877	0.169	M
annotation	00:00:25.877	00:00:26.020	0.143	D
annotation	00:00:26.020	00:00:26.204	0.184	P
annotation	00:00:26.204	00:00:26.340	0.135	M
annotation	00:00:26.340	00:00:26.541	0.202	G
annotation	00:00:26.541	00:00:26.760	0.219	M
annotation	00:00:26.760	00:00:26.883	0.122	R
annotation	00:00:26.883	00:00:27.059	0.176	G
annotation	00:00:27.059	00:00:27.235	0.176	M
annotation	00:00:27.235	00:00:27.400	0.165	P
annotation	00:00:27.400	00:00:27.566	0.165	N
annotation	00:00:27.566	00:00:27.734	0.168	S
annotation	00:00:27.734	00:00:27.902	0.168	R
annotation	00:00:27.902	00:00:28.081	0.179	G
annotation	00:00:28.081	00:00:28.261	0.179	M
annotation	00:00:28.261	00:00:28.435	0.174	P
annotation	00:00:28.435	00:00:28.609	0.174	M
annotation	00:00:28.609	00:00:28.778	0.170	D
annotation	00:00:28.778	00:00:28.948	0.170	D
annotation	00:00:28.948	00:00:29.126	0.178	N
annotation	00:00:29.126	00:00:29.304	0.178	N
annotation	00:00:29.304	00:00:29.664	0.361	S
annotation	00:00:29.664	00:00:29.839	0.174	D
annotation	00:00:29.839	00:00:30.013	0.174	N
annotation	00:00:30.013	00:00:30.197	0.184	S
annotation	00:00:30.197	00:00:30.555	0.358	R
annotation	00:00:30.555	00:00:30.729	0.174	R
annotation	00:00:30.729	00:00:30.911	0.182	N
annotation	00:00:30.911	00:00:31.093	0.182	S
annotation	00:00:31.093	00:00:31.287	0.194	R
annotation	00:00:31.287	00:00:31.656	0.369	G
annotation	00:00:31.656	00:00:31.831	0.175	M
annotation	00:00:31.831	00:00:32.024	0.193	R
annotation	00:00:32.024	00:00:32.216	0.193	G
annotation	00:00:32.216	00:00:32.404	0.187	R
annotation	00:00:32.404	00:00:32.591	0.187	S
annotation	00:00:32.591	00:00:32.783	0.192	R
annotation	00:00:32.783	00:00:33.156	0.373	N
annotation	00:00:33.156	00:00:33.340	0.185	S
annotation	00:00:33.340	00:00:33.690	0.349	D
annotation	00:00:33.690	00:00:33.857	0.167	N
annotation	00:00:33.857	00:00:34.024	0.167	D
annotation	00:00:34.024	00:00:34.182	0.158	P
annotation	00:00:34.182	00:00:34.340	0.158	D
annotation	00:00:34.340	00:00:34.522	0.182	P
annotation	00:00:34.522	00:00:34.686	0.164	P
annotation	00:00:34.686	00:00:34.863	0.177	M
annotation	00:00:34.863	00:00:35.041	0.177	G
annotation	00:00:35.041	00:00:35.209	0.169	M
annotation	00:00:35.209	00:00:35.378	0.169	R
annotation	00:00:46.619	00:00:47.089	0.470	P
annotation	00:00:47.089	00:00:47.261	0.171	P
annotation	00:00:47.261	00:00:47.413	0.152	M
annotation	00:00:47.413	00:00:47.575	0.162	G
annotation	00:00:47.575	00:00:48.072	0.497	M
annotation	00:00:48.072	00:00:48.233	0.161	R
annotation	00:00:48.233	00:00:48.398	0.165	G
annotation	00:00:48.398	00:00:48.563	0.165	M
annotation	00:00:48.563	00:00:48.729	0.166	P
annotation	00:00:48.729	00:00:48.894	0.166	M
annotation	00:00:48.894	00:00:49.056	0.161	G
annotation	00:00:49.056	00:00:49.217	0.161	M
annotation	00:00:49.217	00:00:49.720	0.503	R
annotation	00:00:49.720	00:00:49.888	0.168	G
annotation	00:00:49.888	00:00:50.099	0.212	R
annotation	00:00:50.099	00:00:50.235	0.135	S
annotation	00:00:50.235	00:00:50.403	0.168	N
annotation	00:00:50.403	00:00:50.571	0.168	S
annotation	00:00:50.571	00:00:50.761	0.190	R
annotation	00:00:50.761	00:00:50.889	0.128	G
annotation	00:00:50.889	00:00:51.041	0.152	M
annotation	00:00:51.041	00:00:51.192	0.152	P
annotation	00:00:51.192	00:00:51.359	0.167	D
annotation	00:00:51.359	00:00:51.580	0.221	N
annotation	00:00:51.580	00:00:51.868	0.288	S
annotation	00:00:57.382	00:00:57.700	0.318	P
annotation	00:00:57.700	00:00:57.885	0.185	D
annotation	00:00:57.885	00:00:58.070	0.185	N
annotation	00:00:58.070	00:00:58.261	0.191	S
annotation	00:00:58.261	00:00:58.402	0.141	N
annotation	00:00:58.402	00:00:58.560	0.158	S
annotation	00:00:58.560	00:00:58.749	0.189	R
annotation	00:00:58.749	00:00:58.925	0.175	G
annotation	00:00:58.925	00:00:59.100	0.175	M
annotation	00:00:59.100	00:00:59.399	0.299	R
annotation	00:00:59.399	00:00:59.598	0.199	G
annotation	00:00:59.598	00:00:59.759	0.160	R
