Tier	Begin time	End time	Duration	Annotation
annotation	00:00:23.219	00:00:23.940	0.721	P
annotation	00:00:23.940	00:00:24.716	0.776	M
annotation	00:00:24.716	00:00:25.400	0.684	G
annotation	00:00:25.400	00:00:26.072	0.671	G
annotation	00:00:26.072	00:00:26.751	0.679	R
annotation	00:00:26.751	00:00:27.054	0.303	G
annotation	00:00:27.054	00:00:27.399	0.345	R
annotation	00:00:27.399	00:00:28.792	1.393	S
annotation	00:00:28.792	00:00:29.114	0.322	N_
annotation	00:00:29.114	00:00:29.436	0.322	S
annotation	00:00:29.436	00:00:29.808	0.373	R
annotation	00:00:29.808	00:00:30.181	0.373	G
annotation	00:00:30.181	00:00:30.538	0.357	R
annotation	00:00:30.538	00:00:30.895	0.357	S
annotation	00:00:30.895	00:00:31.258	0.363	N
annotation	00:00:31.258	00:00:31.619	0.361	S
annotation	00:00:31.619	00:00:31.974	0.355	D
annotation	00:00:31.974	00:00:32.327	0.353	P
annotation	00:00:32.327	00:00:32.711	0.384	M
annotation	00:00:32.711	00:00:33.095	0.384	D
annotation	00:00:33.095	00:00:33.500	0.405	D
annotation	00:00:33.500	00:00:33.849	0.349	N
annotation	00:00:33.849	00:00:34.218	0.369	S
annotation	00:00:34.218	00:00:34.587	0.369	R
annotation	00:00:45.339	00:00:45.659	0.319	P
annotation	00:00:45.659	00:00:46.033	0.375	M
annotation	00:00:46.033	00:00:46.362	0.329	G
annotation	00:00:46.362	00:00:46.691	0.329	M
annotation	00:00:46.691	00:00:47.028	0.336	R
annotation	00:00:47.028	00:00:47.364	0.336	G
annotation	00:00:47.364	00:00:47.666	0.302	R
annotation	00:00:47.666	00:00:48.287	0.621	S
annotation	00:00:48.287	00:00:48.606	0.319	R
annotation	00:00:48.606	00:00:48.907	0.301	G
annotation	00:00:48.907	00:00:49.162	0.255	M
annotation	00:00:49.162	00:00:49.534	0.372	P
annotation	00:00:49.534	00:00:49.859	0.326	M
annotation	00:00:49.859	00:00:50.191	0.332	D
annotation	00:00:50.191	00:00:50.523	0.332	D
annotation	00:00:50.523	00:00:50.813	0.290	N
annotation	00:00:50.813	00:00:51.103	0.290	N
annotation	00:00:51.103	00:00:51.432	0.330	S
annotation	00:00:51.432	00:00:52.058	0.626	P
annotation	00:00:52.058	00:00:52.354	0.296	R
annotation	00:00:52.354	00:00:52.652	0.297	G
annotation	00:00:52.652	00:00:52.949	0.297	G
annotation	00:00:52.949	00:00:53.297	0.347	M
annotation	00:00:53.297	00:00:53.644	0.347	D
annotation	00:00:53.644	00:00:53.980	0.336	P
annotation	00:00:53.980	00:00:54.289	0.309	P
annotation	00:00:54.289	00:00:54.646	0.356	M
annotation	00:00:54.646	00:00:55.002	0.356	G
annotation	00:00:55.002	00:00:55.333	0.331	M
annotation	00:00:55.333	00:00:55.664	0.331	R
annotation	00:01:07.250	00:01:07.554	0.303	D
annotation	00:01:07.554	00:01:07.857	0.303	N
annotation	00:01:07.857	00:01:08.121	0.264	D
annotation	00:01:08.121	00:01:08.461	0.340	D
annotation	00:01:08.461	00:01:08.739	0.279	P
annotation	00:01:08.739	00:01:09.093	0.354	P
annotation	00:01:09.094	00:01:09.459	0.366	D
annotation	00:01:09.459	00:01:09.766	0.307	P
annotation	00:01:09.766	00:01:10.092	0.326	P
annotation	00:01:10.092	00:01:10.440	0.349	M
annotation	00:01:10.440	00:01:10.749	0.309	D
annotation	00:01:10.749	00:01:11.081	0.332	P
annotation	00:01:11.081	00:01:11.459	0.378	M
annotation	00:01:11.459	00:01:11.788	0.329	G
annotation	00:01:11.788	00:01:12.124	0.336	M
annotation	00:01:12.124	00:01:12.481	0.357	R
annotation	00:01:12.481	00:01:12.798	0.317	G
annotation	00:01:12.798	00:01:13.136	0.338	M
annotation	00:01:13.136	00:01:13.516	0.381	P
annotation	00:01:13.516	00:01:13.897	0.381	N
annotation	00:01:13.897	00:01:14.189	0.292	S
annotation	00:01:14.189	00:01:14.482	0.292	R
annotation	00:01:14.482	00:01:14.794	0.312	G
annotation	00:01:14.794	00:01:15.107	0.312	M
annotation	00:01:15.107	00:01:15.461	0.355	P
annotation	00:01:15.461	00:01:15.752	0.291	M
annotation	00:01:15.752	00:01:16.092	0.339	D
annotation	00:01:16.092	00:01:16.431	0.339	D
annotation	00:01:16.431	00:01:16.758	0.327	N
annotation	00:01:16.758	00:01:17.085	0.327	N
annotation	00:01:17.085	00:01:17.736	0.651	S
annotation	00:01:28.819	00:01:29.192	0.374	D
annotation	00:01:29.192	00:01:29.521	0.329	N
annotation	00:01:29.521	00:01:29.881	0.360	S
annotation	00:01:29.881	00:01:30.593	0.712	R
annotation	00:01:30.593	00:01:30.947	0.354	R
annotation	00:01:30.947	00:01:31.337	0.391	N
annotation	00:01:31.337	00:01:31.728	0.391	S
annotation	00:01:31.728	00:01:32.078	0.350	R
annotation	00:01:32.078	00:01:32.766	0.688	G
annotation	00:01:32.766	00:01:33.104	0.338	M
annotation	00:01:33.104	00:01:33.361	0.257	R
annotation	00:01:33.361	00:01:33.660	0.299	G
annotation	00:01:33.660	00:01:34.000	0.340	R
annotation	00:01:34.000	00:01:34.332	0.333	S
annotation	00:01:34.332	00:01:34.682	0.350	R
annotation	00:01:34.682	00:01:35.381	0.700	N
annotation	00:01:35.381	00:01:35.719	0.338	S
annotation	00:01:35.719	00:01:36.441	0.722	D
annotation	00:01:36.441	00:01:36.773	0.333	N
annotation	00:01:36.773	00:01:37.134	0.360	D
annotation	00:01:37.134	00:01:37.520	0.387	P
annotation	00:01:37.520	00:01:37.845	0.325	D
annotation	00:01:37.845	00:01:38.206	0.360	P
annotation	00:01:38.206	00:01:38.566	0.360	P
annotation	00:01:38.566	00:01:38.884	0.318	M
annotation	00:01:38.884	00:01:39.202	0.318	G
annotation	00:01:39.202	00:01:39.551	0.349	M
annotation	00:01:39.551	00:01:39.900	0.349	R
annotation	00:02:01.345	00:02:02.283	0.938	P
annotation	00:02:02.283	00:02:02.571	0.287	P
annotation	00:02:02.571	00:02:02.880	0.309	M
annotation	00:02:02.880	00:02:03.239	0.360	G
annotation	00:02:03.239	00:02:04.174	0.935	M
annotation	00:02:04.174	00:02:04.489	0.314	R
annotation	00:02:04.489	00:02:04.842	0.353	G
annotation	00:02:04.842	00:02:05.181	0.340	M
annotation	00:02:05.181	00:02:05.500	0.319	P
annotation	00:02:05.500	00:02:05.860	0.360	M
annotation	00:02:05.860	00:02:06.162	0.302	G
annotation	00:02:06.162	00:02:06.461	0.299	M
annotation	00:02:06.461	00:02:07.490	1.029	R
annotation	00:02:07.490	00:02:07.821	0.331	G
annotation	00:02:07.821	00:02:08.168	0.348	R
annotation	00:02:08.168	00:02:08.560	0.391	S
annotation	00:02:08.560	00:02:08.873	0.313	N
annotation	00:02:08.873	00:02:09.230	0.357	S
annotation	00:02:09.230	00:02:09.541	0.311	R
annotation	00:02:09.541	00:02:09.860	0.319	G
annotation	00:02:09.860	00:02:10.200	0.340	M
annotation	00:02:10.200	00:02:10.501	0.302	P
annotation	00:02:10.501	00:02:10.861	0.360	D
annotation	00:02:10.861	00:02:11.218	0.357	N
annotation	00:02:11.218	00:02:11.860	0.641	S
annotation	00:02:22.472	00:02:23.042	0.570	P
annotation	00:02:23.042	00:02:23.458	0.416	D
annotation	00:02:23.458	00:02:23.780	0.322	N
annotation	00:02:23.780	00:02:24.124	0.344	S
annotation	00:02:24.124	00:02:24.480	0.356	N
annotation	00:02:24.480	00:02:24.819	0.340	S
annotation	00:02:24.819	00:02:25.159	0.340	R
annotation	00:02:25.159	00:02:25.522	0.363	G
annotation	00:02:25.522	00:02:25.821	0.299	M
annotation	00:02:25.821	00:02:26.459	0.639	R
annotation	00:02:26.459	00:02:26.761	0.302	G
annotation	00:02:26.761	00:02:27.128	0.366	R
annotation	00:02:27.128	00:02:27.481	0.354	S
annotation	00:02:27.481	00:02:27.841	0.360	N
annotation	00:02:27.841	00:02:28.201	0.360	S
annotation	00:02:28.201	00:02:28.500	0.299	R
annotation	00:02:28.500	00:02:28.839	0.340	N
annotation	00:02:28.839	00:02:29.513	0.674	S
annotation	00:02:29.513	00:02:29.800	0.287	S
annotation	00:02:29.800	00:02:30.169	0.369	P
annotation	00:02:30.169	00:02:30.499	0.331	D
annotation	00:02:30.499	00:02:30.839	0.340	M
annotation	00:02:30.839	00:02:31.496	0.657	P
annotation	00:02:31.496	00:02:31.820	0.324	N
annotation	00:02:31.820	00:02:32.279	0.458	S
annotation	00:02:32.279	00:02:32.761	0.482	R
annotation	00:02:32.761	00:02:33.399	0.639	G
annotation	00:02:33.399	00:02:34.041	0.641	M
annotation	00:02:34.041	00:02:34.340	0.299	P
annotation	00:02:34.340	00:02:34.700	0.360	M
annotation	00:02:34.700	00:02:35.066	0.367	G
annotation	00:02:35.066	00:02:35.415	0.349	G
annotation	00:02:35.415	00:02:35.746	0.330	R
annotation	00:02:35.746	00:02:35.911	0.165	G
annotation	00:02:35.911	00:02:36.076	0.165	R
