Tier	Begin time	End time	Duration	Annotation
annotation	00:00:01.561	00:00:02.324	0.763	P
annotation	00:00:02.324	00:00:03.000	0.676	M
annotation	00:00:03.000	00:00:03.705	0.705	G
annotation	00:00:03.705	00:00:04.393	0.688	G
annotation	00:00:04.393	00:00:05.031	0.638	R
annotation	00:00:05.031	00:00:05.364	0.333	G
annotation	00:00:05.364	00:00:05.697	0.333	R
annotation	00:00:05.697	00:00:07.165	1.468	S
annotation	00:00:07.165	00:00:07.557	0.392	N_
annotation	00:00:07.557	00:00:07.949	0.392	S
annotation	00:00:07.949	00:00:08.330	0.381	R
annotation	00:00:08.330	00:00:08.739	0.409	G
annotation	00:00:08.739	00:00:09.083	0.344	R
annotation	00:00:09.083	00:00:09.454	0.371	S
annotation	00:00:09.454	00:00:09.814	0.360	N
annotation	00:00:09.814	00:00:10.199	0.384	S
annotation	00:00:10.199	00:00:10.545	0.346	D
annotation	00:00:10.545	00:00:10.916	0.370	P
annotation	00:00:10.916	00:00:11.246	0.331	M
annotation	00:00:11.246	00:00:11.577	0.331	D
annotation	00:00:11.577	00:00:11.912	0.335	D
annotation	00:00:11.912	00:00:12.248	0.335	N
annotation	00:00:12.248	00:00:12.625	0.377	S
annotation	00:00:12.625	00:00:13.002	0.377	R
annotation	00:00:13.002	00:00:13.390	0.387	P
annotation	00:00:13.390	00:00:13.777	0.387	M
annotation	00:00:13.777	00:00:14.155	0.378	G
annotation	00:00:14.155	00:00:14.533	0.378	M
annotation	00:00:14.533	00:00:14.900	0.367	R
annotation	00:00:14.900	00:00:15.301	0.402	G
annotation	00:00:15.301	00:00:15.621	0.319	R
annotation	00:00:15.621	00:00:16.332	0.711	S
annotation	00:00:16.332	00:00:16.701	0.369	R
annotation	00:00:16.701	00:00:17.028	0.327	G
annotation	00:00:17.028	00:00:17.380	0.352	M
annotation	00:00:17.380	00:00:17.706	0.326	P
annotation	00:00:17.706	00:00:18.079	0.374	M
annotation	00:00:18.079	00:00:18.410	0.331	D
annotation	00:00:18.410	00:00:18.799	0.389	D
annotation	00:00:18.799	00:00:19.134	0.335	N
annotation	00:00:19.134	00:00:19.501	0.368	N
annotation	00:00:19.501	00:00:19.940	0.438	S
annotation	00:00:19.940	00:00:20.643	0.704	P
annotation	00:00:20.643	00:00:21.019	0.376	R
annotation	00:00:21.019	00:00:21.352	0.332	G
annotation	00:00:21.352	00:00:21.716	0.364	G
annotation	00:00:21.716	00:00:22.099	0.383	M
annotation	00:00:22.099	00:00:22.448	0.349	D
annotation	00:00:22.448	00:00:22.798	0.350	P
annotation	00:00:22.798	00:00:23.147	0.350	P
annotation	00:00:23.147	00:00:23.440	0.293	M
annotation	00:00:23.440	00:00:23.826	0.385	G
annotation	00:00:23.826	00:00:24.164	0.338	M
annotation	00:00:24.164	00:00:24.479	0.315	R
annotation	00:00:24.479	00:00:24.824	0.345	D
annotation	00:00:24.824	00:00:25.146	0.322	N
annotation	00:00:25.146	00:00:25.559	0.413	D
annotation	00:00:25.559	00:00:25.912	0.353	D
annotation	00:00:25.912	00:00:26.221	0.309	P
annotation	00:00:26.221	00:00:26.601	0.381	P
annotation	00:00:26.601	00:00:26.915	0.314	D
annotation	00:00:26.915	00:00:27.239	0.324	P
