Tier	Begin time	End time	Duration	Annotation
annotation	00:00:03.806	00:00:04.757	0.951	S
annotation	00:00:04.757	00:00:05.578	0.821	R
annotation	00:00:05.578	00:00:06.440	0.862	G
annotation	00:00:06.440	00:00:06.899	0.459	R
annotation	00:00:06.899	00:00:07.332	0.433	G
annotation	00:00:07.332	00:00:08.989	1.657	R
annotation	00:00:08.989	00:00:09.459	0.470	R
annotation	00:00:09.459	00:00:09.930	0.470	G
annotation	00:00:09.930	00:00:10.351	0.421	R
annotation	00:00:10.351	00:00:10.820	0.469	R
annotation	00:00:10.820	00:00:11.662	0.842	S
annotation	00:00:11.662	00:00:12.084	0.422	S
annotation	00:00:12.084	00:00:12.544	0.460	R
annotation	00:00:12.544	00:00:12.966	0.422	S
annotation	00:00:12.966	00:00:13.388	0.422	N
annotation	00:00:13.388	00:00:14.199	0.810	D
annotation	00:00:14.199	00:00:14.651	0.453	G
annotation	00:00:14.651	00:00:15.076	0.424	R
annotation	00:00:15.076	00:00:15.503	0.427	R
annotation	00:00:15.503	00:00:15.882	0.379	G
annotation	00:00:15.882	00:00:16.351	0.469	R
annotation	00:00:16.351	00:00:16.772	0.421	S
annotation	00:00:16.772	00:00:17.188	0.416	N
annotation	00:00:17.188	00:00:17.621	0.432	D
annotation	00:00:17.621	00:00:18.032	0.411	S
annotation	00:00:18.032	00:00:18.459	0.427	R
annotation	00:00:18.459	00:00:18.909	0.450	P
annotation	00:00:18.909	00:00:19.359	0.450	M
annotation	00:00:19.359	00:00:19.787	0.427	G
annotation	00:00:19.787	00:00:20.214	0.427	R
annotation	00:00:20.214	00:00:20.680	0.466	S
annotation	00:00:20.680	00:00:21.071	0.391	D
annotation	00:00:21.071	00:00:21.539	0.468	D
annotation	00:00:21.539	00:00:21.913	0.374	M
annotation	00:00:21.913	00:00:22.360	0.448	G
annotation	00:00:22.360	00:00:22.720	0.360	R
annotation	00:00:22.720	00:00:23.121	0.401	S
annotation	00:00:23.121	00:00:23.579	0.459	D
annotation	00:00:23.579	00:00:23.985	0.406	S
annotation	00:00:23.985	00:00:24.421	0.436	R
annotation	00:00:24.421	00:00:24.850	0.429	M
annotation	00:00:24.850	00:00:25.275	0.425	P
annotation	00:00:25.275	00:00:25.701	0.426	D
annotation	00:00:25.701	00:00:26.135	0.434	R
annotation	00:00:26.135	00:00:26.982	0.847	S
annotation	00:00:26.982	00:00:27.434	0.453	M
annotation	00:00:27.434	00:00:27.887	0.453	P
annotation	00:00:27.887	00:00:28.360	0.473	D
annotation	00:00:28.360	00:00:28.743	0.383	N
annotation	00:00:28.743	00:00:29.168	0.425	D
annotation	00:00:29.168	00:00:29.594	0.425	M
annotation	00:00:29.594	00:00:30.059	0.466	G
annotation	00:00:30.059	00:00:30.525	0.466	R
annotation	00:00:30.525	00:00:30.988	0.463	S
annotation	00:00:30.988	00:00:31.460	0.472	D
annotation	00:00:31.460	00:00:31.855	0.395	D
annotation	00:00:31.855	00:00:32.259	0.404	D
annotation	00:00:32.259	00:00:32.682	0.423	P
annotation	00:00:32.682	00:00:33.079	0.398	M
annotation	00:00:33.079	00:00:33.531	0.452	P
annotation	00:00:33.531	00:00:33.957	0.426	D
annotation	00:00:33.958	00:00:34.319	0.361	R
annotation	00:00:34.319	00:00:34.739	0.421	M
annotation	00:00:34.739	00:00:35.147	0.408	P
annotation	00:00:35.147	00:00:35.541	0.393	D
annotation	00:00:35.541	00:00:36.420	0.879	M
annotation	00:00:36.420	00:00:36.836	0.416	G
annotation	00:00:36.836	00:00:37.278	0.442	R
annotation	00:00:37.278	00:00:37.714	0.436	S
annotation	00:00:37.714	00:00:38.182	0.467	R
annotation	00:00:38.182	00:00:38.600	0.418	R
annotation	00:00:38.600	00:00:39.038	0.438	S
annotation	00:00:39.038	00:00:39.479	0.441	N
annotation	00:00:39.479	00:00:39.938	0.459	D
annotation	00:00:39.938	00:00:40.339	0.401	N
annotation	00:00:40.339	00:00:40.800	0.461	D
annotation	00:00:40.800	00:00:41.223	0.423	P
annotation	00:00:41.223	00:00:41.659	0.436	D
annotation	00:00:41.659	00:00:42.080	0.421	P
annotation	00:00:42.080	00:00:42.508	0.428	M
annotation	00:00:42.508	00:00:42.922	0.413	P
annotation	00:00:42.922	00:00:43.322	0.401	D
annotation	00:00:43.322	00:00:44.927	1.605	S
annotation	00:00:44.927	00:00:45.400	0.473	P
annotation	00:00:45.400	00:00:45.859	0.459	D
annotation	00:00:45.859	00:00:46.320	0.461	S
annotation	00:00:46.320	00:00:46.701	0.380	R
annotation	00:00:46.701	00:00:47.101	0.401	G
annotation	00:00:47.101	00:00:47.551	0.450	R
annotation	00:00:47.551	00:00:48.405	0.853	R
annotation	00:00:48.405	00:00:48.819	0.415	G
annotation	00:00:48.819	00:00:49.210	0.391	R
annotation	00:00:49.210	00:00:49.610	0.400	R
annotation	00:00:49.610	00:00:50.010	0.400	G
annotation	00:00:50.010	00:00:50.408	0.398	R
annotation	00:00:50.408	00:00:50.806	0.398	S
annotation	00:00:50.806	00:00:51.231	0.426	N
annotation	00:00:51.231	00:00:51.641	0.409	D
annotation	00:00:51.641	00:00:52.068	0.427	R
annotation	00:00:52.068	00:00:52.882	0.814	S
annotation	00:00:52.882	00:00:53.286	0.404	N
annotation	00:00:53.286	00:00:53.739	0.453	D
annotation	00:00:53.739	00:00:54.153	0.414	P
annotation	00:00:54.153	00:00:54.573	0.420	D
annotation	00:00:54.573	00:00:55.361	0.789	M
annotation	00:00:55.361	00:00:55.701	0.340	G
annotation	00:00:55.701	00:00:56.129	0.427	R
annotation	00:00:56.129	00:00:56.527	0.398	S
annotation	00:00:56.527	00:00:57.382	0.855	S
annotation	00:00:57.382	00:00:57.820	0.439	N
annotation	00:00:57.820	00:00:58.230	0.409	D
annotation	00:00:58.230	00:00:59.101	0.871	S
annotation	00:00:59.101	00:00:59.460	0.359	R
annotation	00:00:59.460	00:00:59.897	0.437	G
annotation	00:00:59.897	00:01:00.281	0.384	R
annotation	00:01:00.281	00:01:00.695	0.413	S
annotation	00:01:00.695	00:01:01.500	0.806	R
annotation	00:01:01.500	00:01:01.939	0.438	S
annotation	00:01:01.939	00:01:02.302	0.363	G
annotation	00:01:02.302	00:01:02.706	0.405	R
annotation	00:01:02.706	00:01:03.115	0.409	S
annotation	00:01:03.115	00:01:03.555	0.440	N
annotation	00:01:03.555	00:01:03.995	0.440	D
annotation	00:01:03.995	00:01:04.423	0.428	P
annotation	00:01:04.423	00:01:04.850	0.428	D
annotation	00:01:04.850	00:01:05.668	0.818	R
annotation	00:01:05.668	00:01:06.060	0.392	S
annotation	00:01:06.060	00:01:06.461	0.401	G
annotation	00:01:06.461	00:01:06.879	0.418	R
annotation	00:01:06.879	00:01:07.279	0.401	G
annotation	00:01:07.279	00:01:07.700	0.421	S
annotation	00:01:07.700	00:01:08.141	0.441	R
annotation	00:01:08.141	00:01:08.542	0.401	D
annotation	00:01:08.542	00:01:08.919	0.377	S
annotation	00:01:08.919	00:01:09.340	0.421	R
annotation	00:01:09.340	00:01:09.761	0.421	M
annotation	00:01:09.761	00:01:10.980	1.219	P
annotation	00:01:10.980	00:01:11.423	0.443	D
annotation	00:01:11.423	00:01:11.761	0.338	D
annotation	00:01:11.761	00:01:12.141	0.380	P
annotation	00:01:12.141	00:01:12.518	0.377	M
annotation	00:01:12.518	00:01:13.360	0.842	R
annotation	00:01:13.360	00:01:13.820	0.460	M
annotation	00:01:13.820	00:01:14.195	0.375	P
annotation	00:01:14.195	00:01:14.569	0.375	D
annotation	00:01:14.569	00:01:14.939	0.370	S
annotation	00:01:14.939	00:01:15.330	0.391	R
annotation	00:01:15.330	00:01:15.759	0.428	S
annotation	00:01:15.759	00:01:16.161	0.402	P
annotation	00:01:16.161	00:01:16.582	0.421	M
annotation	00:01:16.582	00:01:17.020	0.438	D
annotation	00:01:17.020	00:01:17.421	0.401	P
annotation	00:01:17.421	00:01:17.854	0.434	N
annotation	00:01:17.854	00:01:18.280	0.426	D
annotation	00:01:18.280	00:01:18.701	0.421	N
annotation	00:01:18.701	00:01:19.121	0.421	P
annotation	00:01:19.121	00:01:19.519	0.398	D
annotation	00:01:19.519	00:01:19.879	0.360	M
annotation	00:01:19.879	00:01:20.341	0.461	P
annotation	00:01:20.341	00:01:20.759	0.418	S
annotation	00:01:20.759	00:01:21.182	0.424	R
annotation	00:01:21.182	00:01:21.580	0.398	M
annotation	00:01:21.580	00:01:21.960	0.380	P
annotation	00:01:21.960	00:01:22.358	0.398	D
annotation	00:01:22.358	00:01:22.741	0.383	N
annotation	00:01:22.741	00:01:24.440	1.700	D
annotation	00:01:24.440	00:01:24.817	0.377	N
annotation	00:01:24.817	00:01:25.220	0.402	D
annotation	00:01:25.220	00:01:25.619	0.400	P
annotation	00:01:25.619	00:01:26.421	0.802	M
annotation	00:01:26.421	00:01:26.860	0.438	P
annotation	00:01:26.860	00:01:27.272	0.412	S
annotation	00:01:27.272	00:01:27.667	0.395	N
annotation	00:01:27.667	00:01:28.089	0.422	D
annotation	00:01:28.089	00:01:28.920	0.831	P
annotation	00:01:28.920	00:01:29.341	0.421	D
annotation	00:01:29.341	00:01:29.762	0.421	R
annotation	00:01:29.762	00:01:30.214	0.452	S
annotation	00:01:30.214	00:01:30.662	0.447	N
annotation	00:01:30.662	00:01:31.059	0.398	D
annotation	00:01:31.059	00:01:31.871	0.812	P
annotation	00:01:31.871	00:01:32.220	0.349	M
annotation	00:01:32.220	00:01:33.070	0.849	D
annotation	00:01:33.070	00:01:33.460	0.390	P
annotation	00:01:33.460	00:01:33.900	0.441	N
annotation	00:01:33.900	00:01:34.319	0.419	D
annotation	00:01:34.319	00:01:34.682	0.363	P
annotation	00:01:34.682	00:01:35.100	0.418	D
annotation	00:01:35.100	00:01:35.480	0.380	S
annotation	00:01:35.480	00:01:35.880	0.401	R
annotation	00:01:35.880	00:01:36.301	0.421	G
annotation	00:01:36.301	00:01:36.731	0.430	R
annotation	00:01:36.731	00:01:37.439	0.708	R
annotation	00:01:37.439	00:01:37.887	0.448	D
annotation	00:01:37.887	00:01:38.289	0.401	G
annotation	00:01:38.289	00:01:38.702	0.413	R
annotation	00:01:38.702	00:01:39.079	0.377	S
annotation	00:01:39.079	00:01:39.505	0.426	N
annotation	00:01:39.505	00:01:39.900	0.396	D
annotation	00:01:39.900	00:01:40.321	0.421	D
annotation	00:01:40.321	00:01:40.713	0.391	S
annotation	00:01:40.713	00:01:41.115	0.403	N
annotation	00:01:41.115	00:01:41.518	0.403	D
annotation	00:01:41.518	00:01:41.921	0.403	P
annotation	00:01:41.921	00:01:42.321	0.401	M
annotation	00:01:42.321	00:01:42.722	0.401	G
annotation	00:01:42.722	00:01:43.575	0.853	R
annotation	00:01:43.575	00:01:43.999	0.424	S
annotation	00:01:43.999	00:01:44.359	0.360	G
annotation	00:01:44.359	00:01:45.163	0.804	R
annotation	00:01:45.163	00:01:45.516	0.353	S
annotation	00:01:45.516	00:01:45.915	0.399	N
annotation	00:01:45.915	00:01:46.280	0.365	D
annotation	00:01:46.280	00:01:46.701	0.421	R
annotation	00:01:46.701	00:01:47.069	0.368	S
annotation	00:01:47.069	00:01:47.494	0.425	N
annotation	00:01:47.494	00:01:47.919	0.425	D
annotation	00:01:47.919	00:01:48.327	0.409	P
annotation	00:01:48.327	00:01:48.741	0.414	M
annotation	00:01:48.741	00:01:49.192	0.451	G
annotation	00:01:49.192	00:01:49.649	0.456	R
annotation	00:01:49.649	00:01:50.043	0.394	S
annotation	00:01:50.043	00:01:50.419	0.376	D
annotation	00:01:50.419	00:01:50.820	0.401	S
annotation	00:01:50.820	00:01:51.220	0.401	R
annotation	00:01:51.220	00:01:51.643	0.423	G
annotation	00:01:51.643	00:01:51.848	0.205	R
annotation	00:01:51.848	00:01:52.053	0.205	G
annotation	00:01:52.053	00:01:52.871	0.818	R
annotation	00:01:52.871	00:01:53.078	0.207	R
annotation	00:01:53.078	00:01:53.286	0.207	G
annotation	00:01:53.286	00:01:53.493	0.207	R
annotation	00:01:53.493	00:01:53.700	0.207	R
annotation	00:01:53.700	00:01:54.100	0.400	S
annotation	00:01:54.100	00:01:54.300	0.200	S
annotation	00:01:54.300	00:01:54.500	0.200	R
annotation	00:01:54.500	00:01:54.695	0.195	S
annotation	00:01:54.695	00:01:54.890	0.195	N
annotation	00:01:54.890	00:01:55.281	0.391	D
annotation	00:01:55.281	00:01:55.477	0.196	G
annotation	00:01:55.477	00:01:55.719	0.242	R
annotation	00:01:55.719	00:01:55.870	0.151	R
annotation	00:01:55.870	00:01:56.067	0.197	G
annotation	00:01:56.067	00:01:56.291	0.224	R
annotation	00:01:56.291	00:01:56.515	0.224	S
annotation	00:01:56.515	00:01:56.739	0.224	N
annotation	00:01:56.739	00:01:56.963	0.224	D
annotation	00:01:56.963	00:01:57.161	0.198	S
annotation	00:01:57.161	00:01:57.359	0.198	R
annotation	00:01:57.359	00:01:57.519	0.159	P
annotation	00:01:57.519	00:01:57.756	0.237	M
annotation	00:01:57.756	00:01:58.000	0.245	G
annotation	00:01:58.000	00:01:58.153	0.152	R
annotation	00:01:58.153	00:01:58.351	0.198	S
annotation	00:01:58.351	00:01:58.549	0.198	D
