Tier	Begin time	End time	Duration	Annotation
annotation	00:00:02.143	00:00:02.497	0.353	S
annotation	00:00:02.497	00:00:02.835	0.338	R
annotation	00:00:02.835	00:00:03.167	0.332	G
annotation	00:00:03.167	00:00:03.337	0.170	R
annotation	00:00:03.337	00:00:03.507	0.170	G
annotation	00:00:03.507	00:00:04.135	0.628	R
annotation	00:00:04.135	00:00:04.301	0.166	R
annotation	00:00:04.301	00:00:04.491	0.190	G
annotation	00:00:04.491	00:00:04.662	0.171	R
annotation	00:00:04.662	00:00:04.833	0.171	R
annotation	00:00:04.833	00:00:05.174	0.341	S
annotation	00:00:05.174	00:00:05.350	0.176	S
annotation	00:00:05.350	00:00:05.527	0.176	R
annotation	00:00:05.527	00:00:05.659	0.133	S
annotation	00:00:05.659	00:00:05.900	0.241	N
annotation	00:00:05.900	00:00:06.200	0.300	D
annotation	00:00:06.200	00:00:06.368	0.168	G
annotation	00:00:06.368	00:00:06.536	0.168	R
annotation	00:00:06.536	00:00:06.714	0.178	R
annotation	00:00:06.714	00:00:06.939	0.226	G
annotation	00:00:06.939	00:00:07.068	0.129	R
annotation	00:00:07.068	00:00:07.245	0.177	S
annotation	00:00:07.245	00:00:07.401	0.156	N
annotation	00:00:07.401	00:00:07.597	0.196	D
annotation	00:00:07.597	00:00:07.801	0.204	S
annotation	00:00:07.801	00:00:07.907	0.106	R
annotation	00:00:07.907	00:00:08.089	0.182	P
annotation	00:00:08.089	00:00:08.271	0.182	M
annotation	00:00:08.271	00:00:08.439	0.167	G
annotation	00:00:08.439	00:00:08.606	0.167	R
annotation	00:00:08.606	00:00:08.759	0.153	S
annotation	00:00:08.759	00:00:08.912	0.153	D
annotation	00:00:08.912	00:00:09.072	0.160	D
annotation	00:00:09.072	00:00:09.233	0.160	M
annotation	00:00:09.233	00:00:09.397	0.165	G
annotation	00:00:09.397	00:00:09.562	0.165	R
annotation	00:00:09.562	00:00:09.724	0.162	S
annotation	00:00:09.724	00:00:09.887	0.162	D
annotation	00:00:09.887	00:00:10.046	0.159	S
annotation	00:00:10.046	00:00:10.205	0.159	R
annotation	00:00:10.205	00:00:10.371	0.165	M
annotation	00:00:10.371	00:00:10.536	0.165	P
annotation	00:00:10.536	00:00:10.704	0.168	D
annotation	00:00:10.704	00:00:10.871	0.168	R
annotation	00:00:10.871	00:00:11.225	0.354	S
annotation	00:00:11.225	00:00:11.395	0.170	M
annotation	00:00:11.395	00:00:11.564	0.170	P
annotation	00:00:11.564	00:00:11.781	0.216	D
annotation	00:00:11.781	00:00:11.905	0.125	N
annotation	00:00:11.906	00:00:12.083	0.177	D
annotation	00:00:12.083	00:00:12.260	0.177	M
annotation	00:00:12.260	00:00:12.440	0.180	G
annotation	00:00:12.440	00:00:12.620	0.180	R
annotation	00:00:12.620	00:00:12.794	0.174	S
annotation	00:00:12.794	00:00:12.942	0.148	D
annotation	00:00:23.886	00:00:24.060	0.174	D
annotation	00:00:24.060	00:00:24.235	0.174	D
annotation	00:00:24.235	00:00:24.398	0.163	P
annotation	00:00:24.398	00:00:24.560	0.163	M
annotation	00:00:24.560	00:00:24.679	0.119	P
annotation	00:00:24.679	00:00:24.894	0.215	D
annotation	00:00:24.894	00:00:25.060	0.165	R
annotation	00:00:25.060	00:00:25.230	0.171	M
annotation	00:00:25.230	00:00:25.382	0.152	P
annotation	00:00:25.382	00:00:25.572	0.190	D
annotation	00:00:25.572	00:00:25.840	0.269	M
annotation	00:00:25.840	00:00:26.056	0.216	G
annotation	00:00:26.056	00:00:26.261	0.205	R
annotation	00:00:26.261	00:00:26.396	0.135	S
annotation	00:00:26.396	00:00:26.570	0.174	R
annotation	00:00:26.570	00:00:26.745	0.174	R
annotation	00:00:26.745	00:00:26.900	0.155	S
annotation	00:00:26.900	00:00:27.101	0.201	N
annotation	00:00:27.101	00:00:27.239	0.139	D
annotation	00:00:27.239	00:00:27.439	0.200	N
annotation	00:00:27.439	00:00:27.562	0.122	D
annotation	00:00:27.562	00:00:27.774	0.213	P
annotation	00:00:27.774	00:00:27.953	0.178	D
annotation	00:00:27.953	00:00:28.127	0.174	P
annotation	00:00:28.127	00:00:28.301	0.174	M
annotation	00:00:28.301	00:00:28.502	0.201	P
annotation	00:00:28.502	00:00:28.639	0.137	D
annotation	00:00:28.639	00:00:29.343	0.704	S
annotation	00:00:34.895	00:00:35.120	0.225	P
annotation	00:00:35.120	00:00:35.290	0.170	D
annotation	00:00:35.290	00:00:35.442	0.152	S
annotation	00:00:35.442	00:00:35.654	0.212	R
annotation	00:00:35.654	00:00:35.781	0.127	G
annotation	00:00:35.781	00:00:35.970	0.188	R
annotation	00:00:35.970	00:00:36.328	0.358	R
annotation	00:00:36.328	00:00:36.497	0.169	G
annotation	00:00:36.497	00:00:36.661	0.164	R
annotation	00:00:36.661	00:00:36.829	0.168	R
annotation	00:00:36.829	00:00:36.992	0.163	G
annotation	00:00:36.992	00:00:37.201	0.209	R
annotation	00:00:37.201	00:00:37.356	0.155	S
annotation	00:00:37.356	00:00:37.561	0.205	N
annotation	00:00:37.561	00:00:37.692	0.131	D
annotation	00:00:37.692	00:00:37.822	0.130	R
annotation	00:00:37.822	00:00:38.209	0.387	S
annotation	00:00:38.209	00:00:38.383	0.174	N
annotation	00:00:38.383	00:00:38.542	0.158	D
annotation	00:00:38.542	00:00:38.743	0.201	P
annotation	00:00:38.743	00:00:38.902	0.159	D
annotation	00:00:38.902	00:00:39.230	0.329	M
annotation	00:00:39.230	00:00:39.389	0.158	G
annotation	00:00:39.389	00:00:39.540	0.152	R
annotation	00:00:39.540	00:00:39.701	0.161	S
annotation	00:00:39.701	00:00:39.993	0.292	S
annotation	00:00:39.993	00:00:40.149	0.156	N
annotation	00:00:40.149	00:00:40.260	0.111	D
annotation	00:00:45.781	00:00:46.080	0.299	S
annotation	00:00:46.080	00:00:46.220	0.140	R
annotation	00:00:46.220	00:00:46.368	0.148	G
annotation	00:00:46.368	00:00:46.529	0.161	R
annotation	00:00:46.529	00:00:46.690	0.161	S
annotation	00:00:46.690	00:00:47.016	0.326	R
annotation	00:00:47.016	00:00:47.200	0.183	S
annotation	00:00:47.200	00:00:47.383	0.183	G
annotation	00:00:47.383	00:00:47.539	0.156	R
annotation	00:00:47.539	00:00:47.723	0.183	S
annotation	00:00:47.723	00:00:47.898	0.175	N
annotation	00:00:47.898	00:00:48.073	0.175	D
annotation	00:00:48.073	00:00:48.243	0.170	P
annotation	00:00:48.243	00:00:48.460	0.217	D
annotation	00:00:48.460	00:00:48.750	0.290	R
annotation	00:00:48.750	00:00:48.880	0.131	S
annotation	00:00:48.880	00:00:49.075	0.194	G
annotation	00:00:49.075	00:00:49.182	0.108	R
annotation	00:00:49.182	00:00:49.387	0.204	G
annotation	00:00:49.387	00:00:49.550	0.164	S
annotation	00:00:49.550	00:00:49.714	0.164	R
annotation	00:00:49.714	00:00:49.861	0.147	D
annotation	00:00:49.861	00:00:50.052	0.190	S
annotation	00:00:50.052	00:00:50.160	0.109	R
annotation	00:00:50.160	00:00:50.363	0.202	M
annotation	00:00:50.363	00:00:50.866	0.504	P
annotation	00:00:50.866	00:00:51.030	0.164	D
annotation	00:00:51.030	00:00:51.179	0.149	D
annotation	00:00:51.179	00:00:51.401	0.222	P
annotation	00:00:51.401	00:00:51.563	0.162	M
annotation	00:00:51.563	00:00:51.841	0.278	R
annotation	00:00:51.841	00:00:52.047	0.206	M
annotation	00:00:52.047	00:00:52.201	0.154	P
annotation	00:00:52.201	00:00:52.364	0.163	D
annotation	00:00:52.364	00:00:52.561	0.197	S
annotation	00:00:52.561	00:00:52.703	0.143	R
annotation	00:00:52.703	00:00:52.869	0.166	S
annotation	00:00:52.869	00:00:53.035	0.166	P
annotation	00:00:53.035	00:00:53.207	0.172	M
annotation	00:00:53.207	00:00:53.380	0.172	D
annotation	00:00:53.380	00:00:53.542	0.162	P
annotation	00:00:53.542	00:00:53.704	0.163	N
annotation	00:00:53.704	00:00:53.875	0.170	D
annotation	00:00:53.875	00:00:54.045	0.170	N
annotation	00:00:54.045	00:00:54.212	0.167	P
annotation	00:00:54.212	00:00:54.379	0.167	D
annotation	00:00:54.380	00:00:54.545	0.166	M
annotation	00:00:54.545	00:00:54.711	0.166	P
annotation	00:00:54.711	00:00:54.877	0.166	S
annotation	00:00:54.877	00:00:55.044	0.166	R
annotation	00:00:55.044	00:00:55.206	0.162	M
annotation	00:00:55.206	00:00:55.321	0.115	P
annotation	00:00:55.321	00:00:55.535	0.214	D
annotation	00:00:55.535	00:00:55.701	0.166	N
annotation	00:00:55.701	00:00:56.421	0.720	D
annotation	00:00:56.421	00:00:56.586	0.165	N
annotation	00:00:56.586	00:00:56.751	0.165	D
annotation	00:00:56.751	00:00:56.924	0.173	P
annotation	00:00:56.924	00:00:57.261	0.336	M
annotation	00:00:57.261	00:00:57.424	0.163	P
annotation	00:00:57.424	00:00:57.599	0.176	S
annotation	00:00:57.599	00:00:57.775	0.176	N
annotation	00:00:57.775	00:00:57.954	0.179	D
annotation	00:00:57.954	00:00:58.286	0.332	P
annotation	00:00:58.286	00:00:58.438	0.152	D
annotation	00:00:58.438	00:00:58.615	0.177	R
annotation	00:00:58.615	00:00:58.793	0.177	S
annotation	00:00:58.793	00:00:58.940	0.148	N
annotation	00:00:58.940	00:00:59.123	0.183	D
annotation	00:00:59.123	00:00:59.438	0.315	P
annotation	00:00:59.438	00:00:59.599	0.162	M
annotation	00:00:59.599	00:00:59.918	0.318	D
annotation	00:00:59.918	00:01:00.083	0.165	P
annotation	00:01:00.083	00:01:00.261	0.178	N
annotation	00:01:00.261	00:01:00.436	0.175	D
annotation	00:01:00.436	00:01:00.611	0.175	P
annotation	00:01:00.611	00:01:00.787	0.175	D
annotation	00:01:00.787	00:01:00.948	0.161	S
annotation	00:01:00.948	00:01:01.109	0.161	R
annotation	00:01:01.109	00:01:01.283	0.174	G
annotation	00:01:01.283	00:01:01.457	0.174	R
annotation	00:01:01.457	00:01:01.796	0.339	R
annotation	00:01:01.796	00:01:01.980	0.184	D
annotation	00:01:01.980	00:01:02.164	0.184	G
annotation	00:01:02.164	00:01:02.360	0.195	R
annotation	00:01:02.360	00:01:02.488	0.128	S
annotation	00:01:02.488	00:01:02.656	0.168	N
annotation	00:01:02.656	00:01:02.801	0.145	D
annotation	00:01:02.801	00:01:02.994	0.193	D
annotation	00:01:02.994	00:01:03.164	0.170	S
annotation	00:01:03.164	00:01:03.361	0.197	N
annotation	00:01:03.361	00:01:03.510	0.149	D
annotation	00:01:03.510	00:01:03.679	0.169	P
annotation	00:01:03.679	00:01:03.848	0.169	M
annotation	00:01:03.848	00:01:04.013	0.165	G
annotation	00:01:04.013	00:01:04.332	0.319	R
