Tier	Begin time	End time	Duration	Annotation
annotation	00:00:01.700	00:00:02.376	0.676	S
annotation	00:00:02.376	00:00:03.053	0.676	R
annotation	00:00:03.053	00:00:03.729	0.676	G
annotation	00:00:03.729	00:00:04.067	0.338	R
annotation	00:00:04.067	00:00:04.406	0.338	G
annotation	00:00:04.406	00:00:05.758	1.353	R
annotation	00:00:05.758	00:00:06.097	0.338	R
annotation	00:00:06.097	00:00:06.435	0.338	G
annotation	00:00:06.435	00:00:06.773	0.338	R
annotation	00:00:06.773	00:00:07.111	0.338	R
annotation	00:00:07.111	00:00:07.774	0.663	S
annotation	00:00:07.774	00:00:08.106	0.331	S
annotation	00:00:08.106	00:00:08.437	0.331	R
annotation	00:00:08.437	00:00:08.769	0.331	S
annotation	00:00:08.769	00:00:09.100	0.331	N
annotation	00:00:09.100	00:00:09.763	0.663	D
annotation	00:00:09.763	00:00:10.095	0.331	G
annotation	00:00:10.095	00:00:10.426	0.331	R
annotation	00:00:10.426	00:00:10.800	0.373	R
annotation	00:00:10.800	00:00:11.089	0.289	G
annotation	00:00:11.089	00:00:11.421	0.331	R
annotation	00:00:11.421	00:00:11.752	0.331	S
annotation	00:00:11.752	00:00:12.084	0.331	N
annotation	00:00:12.084	00:00:12.415	0.331	D
annotation	00:00:12.415	00:00:12.747	0.332	S
annotation	00:00:12.747	00:00:13.078	0.332	R
annotation	00:00:13.078	00:00:13.410	0.332	P
annotation	00:00:13.410	00:00:13.741	0.332	M
annotation	00:00:13.741	00:00:14.073	0.332	G
annotation	00:00:14.073	00:00:14.404	0.332	R
annotation	00:00:14.404	00:00:14.759	0.354	S
annotation	00:00:14.759	00:00:15.067	0.309	D
annotation	00:00:15.067	00:00:15.399	0.332	D
annotation	00:00:15.399	00:00:15.731	0.332	M
annotation	00:00:15.731	00:00:16.062	0.332	G
annotation	00:00:16.062	00:00:16.394	0.332	R
annotation	00:00:16.394	00:00:16.725	0.332	S
annotation	00:00:16.725	00:00:17.057	0.332	D
annotation	00:00:17.057	00:00:17.388	0.332	S
annotation	00:00:17.388	00:00:17.699	0.311	R
annotation	00:00:17.699	00:00:18.033	0.334	M
annotation	00:00:18.033	00:00:18.346	0.313	P
annotation	00:00:18.346	00:00:18.659	0.313	D
annotation	00:00:18.659	00:00:18.972	0.313	R
annotation	00:00:18.972	00:00:19.598	0.626	S
annotation	00:00:19.598	00:00:19.911	0.313	M
annotation	00:00:19.911	00:00:20.224	0.313	P
annotation	00:00:20.224	00:00:20.537	0.313	D
annotation	00:00:20.537	00:00:20.850	0.313	N
annotation	00:00:20.850	00:00:21.163	0.313	D
annotation	00:00:21.163	00:00:21.476	0.313	M
annotation	00:00:21.476	00:00:21.789	0.313	G
annotation	00:00:21.789	00:00:22.102	0.313	R
annotation	00:00:22.102	00:00:22.415	0.313	S
annotation	00:00:22.415	00:00:22.728	0.313	D
annotation	00:00:22.728	00:00:23.053	0.325	D
annotation	00:00:23.053	00:00:23.379	0.325	D
annotation	00:00:23.379	00:00:23.704	0.325	P
annotation	00:00:23.704	00:00:24.029	0.325	M
annotation	00:00:24.029	00:00:24.355	0.325	P
annotation	00:00:24.355	00:00:24.680	0.325	D
annotation	00:00:24.680	00:00:25.005	0.325	R
annotation	00:00:25.005	00:00:25.331	0.325	M
annotation	00:00:25.331	00:00:25.656	0.325	P
annotation	00:00:25.656	00:00:25.982	0.325	D
annotation	00:00:25.982	00:00:26.632	0.651	M
annotation	00:00:26.632	00:00:26.958	0.325	G
annotation	00:00:26.958	00:00:27.283	0.325	R
annotation	00:00:27.283	00:00:27.608	0.325	S
annotation	00:00:27.608	00:00:27.959	0.351	R
annotation	00:00:27.959	00:00:28.253	0.293	R
annotation	00:00:28.253	00:00:28.571	0.319	S
annotation	00:00:28.571	00:00:28.900	0.328	N
annotation	00:00:28.900	00:00:29.209	0.309	D
annotation	00:00:29.209	00:00:29.528	0.319	N
annotation	00:00:29.528	00:00:29.847	0.319	D
annotation	00:00:29.847	00:00:30.165	0.319	P
annotation	00:00:30.165	00:00:30.484	0.319	D
annotation	00:00:30.484	00:00:30.803	0.319	P
annotation	00:00:30.803	00:00:31.122	0.319	M
annotation	00:00:31.122	00:00:31.441	0.319	P
annotation	00:00:31.441	00:00:31.760	0.319	D
