Tier	Begin time	End time	Duration	Annotation
annotation	00:00:02.046	00:00:02.661	0.616	S
annotation	00:00:02.661	00:00:03.500	0.839	R
annotation	00:00:03.500	00:00:04.274	0.774	G
annotation	00:00:04.274	00:00:04.662	0.388	R
annotation	00:00:04.662	00:00:05.000	0.339	G
annotation	00:00:05.000	00:00:06.640	1.640	R
annotation	00:00:06.640	00:00:07.019	0.379	R
annotation	00:00:07.019	00:00:07.431	0.412	G
annotation	00:00:07.431	00:00:07.819	0.388	R
annotation	00:00:07.819	00:00:08.206	0.388	R
annotation	00:00:08.206	00:00:08.931	0.725	S
annotation	00:00:08.931	00:00:09.337	0.405	S
annotation	00:00:09.337	00:00:09.742	0.405	R
annotation	00:00:09.742	00:00:10.127	0.385	S
annotation	00:00:10.127	00:00:10.512	0.385	N
annotation	00:00:10.512	00:00:11.287	0.776	D
annotation	00:00:11.288	00:00:11.740	0.453	G
annotation	00:00:11.740	00:00:12.193	0.453	R
annotation	00:00:12.193	00:00:12.622	0.429	R
annotation	00:00:12.622	00:00:13.098	0.476	G
annotation	00:00:13.098	00:00:13.471	0.372	R
annotation	00:00:13.471	00:00:13.890	0.420	S
annotation	00:00:13.890	00:00:14.313	0.422	N
annotation	00:00:14.313	00:00:14.735	0.422	D
annotation	00:00:27.080	00:00:27.435	0.355	S
annotation	00:00:27.435	00:00:27.816	0.381	R
annotation	00:00:27.816	00:00:28.212	0.396	P
annotation	00:00:28.212	00:00:28.608	0.396	M
annotation	00:00:28.608	00:00:29.042	0.434	G
annotation	00:00:29.042	00:00:29.475	0.434	R
annotation	00:00:29.475	00:00:29.897	0.421	S
annotation	00:00:29.897	00:00:30.318	0.421	D
annotation	00:00:30.318	00:00:30.700	0.383	D
annotation	00:00:30.700	00:00:31.083	0.383	M
annotation	00:00:31.083	00:00:31.482	0.399	G
annotation	00:00:31.482	00:00:31.881	0.399	R
annotation	00:00:31.881	00:00:32.313	0.432	S
annotation	00:00:32.313	00:00:32.745	0.432	D
annotation	00:00:32.745	00:00:33.146	0.401	S
annotation	00:00:33.146	00:00:33.548	0.401	R
annotation	00:00:33.548	00:00:34.004	0.456	M
annotation	00:00:34.004	00:00:34.460	0.456	P
annotation	00:00:34.460	00:00:34.846	0.386	D
annotation	00:00:34.846	00:00:35.232	0.386	R
annotation	00:00:35.232	00:00:36.101	0.869	S
annotation	00:00:36.101	00:00:36.502	0.401	M
annotation	00:00:36.502	00:00:36.903	0.401	P
annotation	00:00:36.903	00:00:37.325	0.422	D
annotation	00:00:37.325	00:00:37.747	0.422	N
annotation	00:00:37.747	00:00:38.174	0.427	D
annotation	00:00:38.174	00:00:38.600	0.426	M
annotation	00:00:38.600	00:00:38.985	0.385	G
annotation	00:00:38.985	00:00:39.370	0.384	R
annotation	00:00:39.370	00:00:39.778	0.409	S
annotation	00:00:39.778	00:00:40.187	0.409	D
annotation	00:00:53.542	00:00:53.951	0.409	D
annotation	00:00:53.951	00:00:54.343	0.392	D
annotation	00:00:54.343	00:00:54.735	0.392	P
annotation	00:00:54.735	00:00:55.126	0.392	M
annotation	00:00:55.126	00:00:55.497	0.371	P
annotation	00:00:55.497	00:00:55.868	0.371	D
annotation	00:00:55.868	00:00:56.243	0.375	R
annotation	00:00:56.243	00:00:56.618	0.375	M
annotation	00:00:56.618	00:00:57.022	0.404	P
annotation	00:00:57.022	00:00:57.426	0.404	D
annotation	00:00:57.426	00:00:58.231	0.805	M
annotation	00:00:58.231	00:00:58.657	0.427	G
annotation	00:00:58.657	00:00:59.084	0.427	R
annotation	00:00:59.084	00:00:59.504	0.419	S
annotation	00:00:59.504	00:00:59.923	0.419	R
annotation	00:00:59.923	00:01:00.480	0.557	R
annotation	00:01:00.480	00:01:01.036	0.557	S
annotation	00:01:01.036	00:01:01.361	0.325	N
annotation	00:01:01.361	00:01:01.783	0.422	D
annotation	00:01:01.783	00:01:02.124	0.341	N
annotation	00:01:02.124	00:01:02.465	0.341	D
annotation	00:01:02.465	00:01:02.897	0.432	P
annotation	00:01:02.897	00:01:03.329	0.432	D
annotation	00:01:03.329	00:01:03.737	0.408	P
annotation	00:01:03.737	00:01:04.144	0.408	M
annotation	00:01:04.144	00:01:04.545	0.401	P
annotation	00:01:04.545	00:01:04.946	0.401	D
annotation	00:01:04.946	00:01:06.554	1.608	S
annotation	00:01:19.929	00:01:20.290	0.362	P
annotation	00:01:20.290	00:01:20.660	0.370	D
annotation	00:01:20.660	00:01:21.054	0.394	S
annotation	00:01:21.054	00:01:21.457	0.402	R
annotation	00:01:21.457	00:01:21.827	0.370	G
annotation	00:01:21.827	00:01:22.197	0.370	R
annotation	00:01:22.197	00:01:23.004	0.807	R
annotation	00:01:23.004	00:01:23.385	0.381	G
annotation	00:01:23.385	00:01:23.766	0.381	R
annotation	00:01:23.766	00:01:24.141	0.375	R
annotation	00:01:24.141	00:01:24.500	0.359	G
annotation	00:01:24.500	00:01:24.897	0.397	R
annotation	00:01:24.897	00:01:25.278	0.381	S
annotation	00:01:25.278	00:01:25.643	0.364	N
annotation	00:01:25.643	00:01:26.021	0.378	D
annotation	00:01:26.021	00:01:26.416	0.395	R
annotation	00:01:26.416	00:01:27.220	0.804	S
annotation	00:01:27.220	00:01:27.616	0.396	N
annotation	00:01:27.616	00:01:28.032	0.416	D
annotation	00:01:28.032	00:01:28.459	0.426	P
annotation	00:01:28.459	00:01:28.841	0.382	D
annotation	00:01:28.841	00:01:29.579	0.738	M
annotation	00:01:29.579	00:01:29.979	0.400	G
annotation	00:01:29.979	00:01:30.373	0.395	R
annotation	00:01:30.373	00:01:30.801	0.428	S
annotation	00:01:30.801	00:01:31.626	0.825	S
annotation	00:01:31.626	00:01:32.024	0.397	N
annotation	00:01:32.024	00:01:32.421	0.397	D
annotation	00:01:45.315	00:01:45.900	0.585	S
