Tier	Begin time	End time	Duration	Annotation
annotation	00:00:12.081	00:00:13.279	1.198	P
annotation	00:00:13.279	00:00:13.655	0.376	P
annotation	00:00:13.655	00:00:14.054	0.399	M
annotation	00:00:14.054	00:00:14.442	0.388	R
annotation	00:00:14.442	00:00:14.854	0.411	G
annotation	00:00:14.854	00:00:15.255	0.401	R
annotation	00:00:15.255	00:00:15.709	0.454	S
annotation	00:00:15.709	00:00:16.620	0.912	N
annotation	00:00:16.620	00:00:17.118	0.498	P
annotation	00:00:17.118	00:00:17.499	0.380	N
annotation	00:00:17.499	00:00:17.902	0.403	S
annotation	00:00:17.902	00:00:18.338	0.436	R
annotation	00:00:18.338	00:00:18.758	0.420	N
annotation	00:00:18.758	00:00:21.116	2.358	S
annotation	00:00:21.116	00:00:21.588	0.471	N
annotation	00:00:21.588	00:00:22.021	0.433	S
annotation	00:00:22.021	00:00:22.479	0.459	R
annotation	00:00:22.479	00:00:22.840	0.361	G
annotation	00:00:22.840	00:00:23.263	0.423	R
annotation	00:00:23.263	00:00:23.686	0.423	S
annotation	00:00:23.686	00:00:24.121	0.435	R
annotation	00:00:24.121	00:00:24.555	0.435	M
annotation	00:00:24.555	00:00:25.002	0.446	P
annotation	00:00:25.002	00:00:25.440	0.438	N
annotation	00:00:25.440	00:00:25.860	0.420	P
annotation	00:00:25.860	00:00:26.718	0.859	M
annotation	00:00:26.718	00:00:27.139	0.420	N
annotation	00:00:27.139	00:00:27.512	0.373	P
annotation	00:00:27.512	00:00:27.885	0.373	N
annotation	00:00:27.885	00:00:28.311	0.426	P
annotation	00:00:28.311	00:00:28.736	0.426	M
annotation	00:00:28.736	00:00:29.115	0.378	R
annotation	00:00:29.115	00:00:29.892	0.778	G
annotation	00:00:29.892	00:00:30.319	0.427	R
annotation	00:00:30.319	00:00:30.723	0.404	N
annotation	00:00:30.723	00:00:31.140	0.417	S
annotation	00:00:31.140	00:00:31.562	0.422	R
annotation	00:00:31.562	00:00:31.970	0.408	G
annotation	00:00:31.970	00:00:32.420	0.450	R
annotation	00:00:32.420	00:00:33.239	0.818	S
annotation	00:00:33.239	00:00:33.629	0.390	N
annotation	00:00:33.629	00:00:34.084	0.455	P
annotation	00:00:34.084	00:00:34.538	0.455	N
annotation	00:00:34.538	00:00:34.919	0.381	S
annotation	00:00:34.919	00:00:35.340	0.421	R
annotation	00:00:35.340	00:00:35.761	0.421	G
annotation	00:00:35.761	00:00:36.580	0.819	R
annotation	00:00:36.580	00:00:36.980	0.401	S
annotation	00:00:36.980	00:00:37.381	0.401	R
annotation	00:00:37.381	00:00:37.781	0.401	M
annotation	00:00:37.781	00:00:38.240	0.459	P
annotation	00:00:38.240	00:00:38.640	0.401	N
annotation	00:00:38.640	00:00:41.041	2.400	N
annotation	00:00:41.041	00:00:41.499	0.459	S
annotation	00:00:41.499	00:00:41.941	0.441	N
annotation	00:00:41.941	00:00:42.280	0.340	P
annotation	00:00:42.280	00:00:43.081	0.801	M
annotation	00:00:43.081	00:00:43.520	0.438	R
annotation	00:00:43.520	00:00:43.910	0.391	G
annotation	00:00:43.910	00:00:44.300	0.390	R
annotation	00:00:44.300	00:00:44.726	0.426	S
annotation	00:00:44.726	00:00:45.159	0.433	R
annotation	00:00:45.159	00:00:47.481	2.322	S
annotation	00:00:47.481	00:00:47.870	0.389	M
annotation	00:00:47.870	00:00:48.259	0.389	R
annotation	00:00:48.259	00:00:48.640	0.380	P
annotation	00:00:48.640	00:00:49.056	0.417	M
annotation	00:00:49.056	00:00:49.519	0.463	N
annotation	00:00:49.519	00:00:49.940	0.421	P
annotation	00:00:49.940	00:00:50.376	0.437	S
annotation	00:00:50.376	00:00:50.761	0.385	N
annotation	00:00:50.761	00:00:51.184	0.422	P
annotation	00:00:51.184	00:00:51.559	0.376	M
annotation	00:00:51.559	00:00:51.985	0.426	N
annotation	00:00:51.985	00:00:52.398	0.413	S
annotation	00:00:52.398	00:00:52.812	0.414	R
annotation	00:00:52.812	00:00:53.620	0.808	G
annotation	00:00:53.620	00:00:54.041	0.421	R
annotation	00:00:54.041	00:00:54.500	0.459	S
annotation	00:00:54.500	00:00:54.891	0.391	R
annotation	00:00:54.891	00:00:55.277	0.385	N
annotation	00:00:55.277	00:00:56.037	0.760	S
annotation	00:00:56.037	00:00:56.459	0.422	N
annotation	00:00:56.459	00:00:56.830	0.371	P
annotation	00:00:56.830	00:00:57.260	0.430	N
annotation	00:00:57.260	00:00:57.681	0.421	S
annotation	00:00:57.681	00:00:58.041	0.360	R
annotation	00:00:58.041	00:00:58.459	0.418	S
annotation	00:00:58.459	00:00:59.280	0.821	N
annotation	00:00:59.280	00:00:59.701	0.421	P
annotation	00:00:59.701	00:01:00.080	0.379	D
annotation	00:01:00.080	00:01:00.540	0.460	N
annotation	00:01:00.540	00:01:00.941	0.402	P
annotation	00:01:00.941	00:01:01.385	0.444	M
annotation	00:01:01.385	00:01:01.756	0.371	R
annotation	00:01:01.756	00:01:02.127	0.371	G
annotation	00:01:02.127	00:01:02.580	0.453	R
annotation	00:01:02.580	00:01:02.981	0.401	S
annotation	00:01:02.981	00:01:03.341	0.360	R
annotation	00:01:03.341	00:01:03.761	0.421	M
annotation	00:01:03.761	00:01:04.168	0.406	P
annotation	00:01:04.168	00:01:04.566	0.398	N
annotation	00:01:04.566	00:01:05.499	0.933	P
annotation	00:01:05.499	00:01:05.819	0.320	P
annotation	00:01:05.819	00:01:06.236	0.417	M
annotation	00:01:06.236	00:01:06.580	0.343	R
annotation	00:01:06.580	00:01:07.001	0.421	R
annotation	00:01:07.001	00:01:07.419	0.418	G
annotation	00:01:07.419	00:01:07.803	0.384	R
annotation	00:01:07.803	00:01:08.220	0.418	R
annotation	00:01:08.220	00:01:08.681	0.461	S
annotation	00:01:08.681	00:01:09.041	0.360	S
annotation	00:01:09.041	00:01:09.421	0.380	N
annotation	00:01:09.421	00:01:09.830	0.409	N
annotation	00:01:09.830	00:01:10.239	0.409	P
annotation	00:01:10.239	00:01:10.654	0.415	N
annotation	00:01:10.654	00:01:11.041	0.387	N
annotation	00:01:11.041	00:01:11.842	0.801	S
annotation	00:01:11.842	00:01:12.261	0.419	S
annotation	00:01:12.261	00:01:12.640	0.380	N
annotation	00:01:12.640	00:01:13.000	0.360	N
annotation	00:01:13.000	00:01:13.421	0.421	P
annotation	00:01:13.421	00:01:13.798	0.377	N
annotation	00:01:13.798	00:01:14.240	0.441	S
annotation	00:01:14.240	00:01:14.620	0.380	R
annotation	00:01:14.620	00:01:15.061	0.441	G
annotation	00:01:15.061	00:01:15.421	0.360	R
annotation	00:01:15.421	00:01:15.859	0.438	S
annotation	00:01:15.859	00:01:16.260	0.401	R
annotation	00:01:16.260	00:01:16.660	0.401	M
annotation	00:01:16.660	00:01:17.085	0.425	P
annotation	00:01:17.085	00:01:17.519	0.434	N
annotation	00:01:17.519	00:01:17.879	0.360	P
annotation	00:01:17.879	00:01:18.320	0.441	M
annotation	00:01:18.320	00:01:18.701	0.380	N
annotation	00:01:18.701	00:01:19.101	0.401	P
annotation	00:01:19.101	00:01:19.481	0.380	S
annotation	00:01:19.481	00:01:19.879	0.398	N
annotation	00:01:19.879	00:01:20.280	0.401	R
annotation	00:01:20.280	00:01:20.700	0.421	S
annotation	00:01:20.700	00:01:21.081	0.380	G
annotation	00:01:21.081	00:01:21.539	0.459	R
annotation	00:01:21.539	00:01:21.917	0.377	S
annotation	00:01:21.917	00:01:22.303	0.386	N
annotation	00:01:22.303	00:01:22.700	0.398	P
annotation	00:01:22.700	00:01:23.179	0.479	N
annotation	00:01:23.179	00:01:23.539	0.360	S
annotation	00:01:23.539	00:01:23.940	0.401	R
annotation	00:01:23.940	00:01:24.381	0.441	G
annotation	00:01:24.381	00:01:25.159	0.778	R
annotation	00:01:25.159	00:01:25.542	0.383	S
annotation	00:01:25.542	00:01:26.020	0.478	N
annotation	00:01:26.020	00:01:26.848	0.828	P
annotation	00:01:26.848	00:01:27.240	0.392	M
annotation	00:01:27.240	00:01:27.640	0.401	R
annotation	00:01:27.640	00:01:28.058	0.418	G
annotation	00:01:28.058	00:01:28.479	0.421	R
annotation	00:01:28.479	00:01:28.900	0.421	S
annotation	00:01:28.900	00:01:29.301	0.401	R
annotation	00:01:29.301	00:01:29.681	0.380	M
annotation	00:01:29.681	00:01:30.133	0.452	P
annotation	00:01:30.133	00:01:30.540	0.407	N
annotation	00:01:30.540	00:01:31.177	0.637	P
annotation	00:01:31.177	00:01:31.419	0.243	P
annotation	00:01:31.419	00:01:31.604	0.185	M
annotation	00:01:31.604	00:01:31.819	0.215	R
annotation	00:01:31.819	00:01:32.040	0.222	G
annotation	00:01:32.040	00:01:32.248	0.208	R
annotation	00:01:32.248	00:01:32.455	0.207	S
annotation	00:01:32.455	00:01:32.859	0.404	N
annotation	00:01:32.859	00:01:33.120	0.261	P
annotation	00:01:33.120	00:01:33.320	0.200	N
annotation	00:01:33.320	00:01:33.519	0.198	S
annotation	00:01:33.519	00:01:33.740	0.222	R
annotation	00:01:33.740	00:01:33.979	0.239	N
annotation	00:01:33.979	00:01:35.145	1.166	S
annotation	00:01:35.145	00:01:35.328	0.183	N
annotation	00:01:35.328	00:01:35.521	0.193	S
annotation	00:01:35.521	00:01:35.745	0.225	R
annotation	00:01:35.745	00:01:35.980	0.235	G
annotation	00:01:35.980	00:01:36.215	0.235	R
annotation	00:01:36.215	00:01:36.449	0.235	S
annotation	00:01:36.449	00:01:36.690	0.240	R
annotation	00:01:36.690	00:01:36.930	0.240	M
annotation	00:01:36.930	00:01:37.170	0.240	P
annotation	00:01:37.170	00:01:37.399	0.228	N
annotation	00:01:37.399	00:01:37.599	0.200	P
annotation	00:01:37.599	00:01:38.040	0.441	M
annotation	00:01:38.040	00:01:38.185	0.145	N
annotation	00:01:38.185	00:01:38.423	0.238	P
annotation	00:01:38.423	00:01:38.699	0.276	N
annotation	00:01:38.699	00:01:38.898	0.199	P
annotation	00:01:38.898	00:01:39.099	0.201	M
annotation	00:01:39.099	00:01:39.351	0.252	R
annotation	00:01:39.351	00:01:39.782	0.431	G
annotation	00:01:39.782	00:01:39.998	0.215	R
annotation	00:01:39.998	00:01:40.207	0.209	N
annotation	00:01:40.207	00:01:40.416	0.209	S
annotation	00:01:40.416	00:01:40.625	0.209	R
annotation	00:01:40.625	00:01:40.834	0.209	G
annotation	00:01:40.834	00:01:41.055	0.221	R
annotation	00:01:41.055	00:01:41.497	0.442	S
annotation	00:01:41.497	00:01:41.718	0.221	N
annotation	00:01:41.718	00:01:41.920	0.202	P
annotation	00:01:41.920	00:01:42.123	0.202	N
annotation	00:01:42.123	00:01:42.325	0.202	S
annotation	00:01:42.325	00:01:42.527	0.202	R
annotation	00:01:42.527	00:01:42.734	0.206	G
annotation	00:01:42.734	00:01:43.146	0.413	R
annotation	00:01:43.146	00:01:43.381	0.234	S
annotation	00:01:43.381	00:01:43.581	0.200	R
annotation	00:01:43.581	00:01:43.752	0.171	M
annotation	00:01:43.752	00:01:43.952	0.200	P
annotation	00:01:43.952	00:01:44.182	0.230	N
annotation	00:01:44.182	00:01:45.421	1.239	N
annotation	00:01:45.421	00:01:45.671	0.250	S
annotation	00:01:45.671	00:01:45.883	0.212	N
annotation	00:01:45.883	00:01:46.100	0.217	P
annotation	00:01:46.100	00:01:46.541	0.441	M
annotation	00:01:46.541	00:01:46.702	0.160	R
annotation	00:01:46.702	00:01:46.919	0.217	G
annotation	00:01:46.919	00:01:47.137	0.217	R
annotation	00:01:47.137	00:01:47.354	0.217	S
annotation	00:01:47.354	00:01:47.560	0.206	R
annotation	00:01:47.560	00:01:48.759	1.199	S
annotation	00:01:48.759	00:01:48.981	0.222	M
annotation	00:01:48.981	00:01:49.189	0.209	R
annotation	00:01:49.189	00:01:49.393	0.203	P
annotation	00:01:49.393	00:01:49.560	0.167	M
annotation	00:01:49.560	00:01:49.781	0.221	N
annotation	00:01:49.781	00:01:50.001	0.221	P
annotation	00:01:50.001	00:01:50.219	0.218	S
annotation	00:01:50.219	00:01:50.419	0.200	N
annotation	00:01:50.419	00:01:50.650	0.231	P
annotation	00:01:50.650	00:01:50.840	0.190	M
annotation	00:01:50.840	00:01:51.075	0.235	N
annotation	00:01:51.075	00:01:51.283	0.209	S
annotation	00:01:51.283	00:01:51.492	0.209	R
annotation	00:01:51.492	00:01:51.909	0.417	G
annotation	00:01:51.909	00:01:52.100	0.190	R
annotation	00:01:52.100	00:01:52.326	0.227	S
annotation	00:01:52.326	00:01:52.535	0.209	R
annotation	00:01:52.535	00:01:52.761	0.226	N
annotation	00:01:52.761	00:01:53.213	0.452	S
annotation	00:01:53.213	00:01:53.400	0.187	N
annotation	00:01:53.400	00:01:53.635	0.235	P
annotation	00:01:53.635	00:01:53.800	0.166	N
annotation	00:01:53.800	00:01:54.026	0.226	S
annotation	00:01:54.026	00:01:54.181	0.155	R
annotation	00:01:54.181	00:01:54.443	0.262	S
annotation	00:01:54.443	00:01:54.860	0.417	N
annotation	00:01:54.860	00:01:55.106	0.246	P
annotation	00:01:55.106	00:01:55.316	0.210	D
annotation	00:01:55.316	00:01:55.501	0.186	N
