Tier	Begin time	End time	Duration	Annotation
annotation	00:00:16.179	00:00:17.195	1.016	P
annotation	00:00:17.195	00:00:17.489	0.294	P
annotation	00:00:17.489	00:00:17.784	0.294	M
annotation	00:00:17.784	00:00:18.079	0.295	R
annotation	00:00:18.079	00:00:18.438	0.359	G
annotation	00:00:18.438	00:00:18.798	0.360	R
annotation	00:00:18.798	00:00:19.129	0.331	S
annotation	00:00:19.129	00:00:19.780	0.651	N
annotation	00:00:19.780	00:00:20.117	0.337	P
annotation	00:00:20.117	00:00:20.451	0.334	N
annotation	00:00:20.451	00:00:20.785	0.334	S
annotation	00:00:20.785	00:00:21.140	0.355	R
annotation	00:00:21.140	00:00:21.494	0.355	N
annotation	00:00:21.494	00:00:23.321	1.827	S
annotation	00:00:23.321	00:00:23.648	0.327	N
annotation	00:00:23.648	00:00:23.958	0.310	S
annotation	00:00:23.958	00:00:24.273	0.315	R
annotation	00:00:24.273	00:00:24.588	0.315	G
annotation	00:00:24.588	00:00:24.907	0.319	R
annotation	00:00:24.907	00:00:25.219	0.312	S
annotation	00:00:25.219	00:00:25.543	0.324	R
annotation	00:00:25.543	00:00:25.860	0.317	M
annotation	00:00:25.860	00:00:26.200	0.341	P
annotation	00:00:26.200	00:00:26.490	0.290	N
annotation	00:00:36.940	00:00:37.259	0.319	P
annotation	00:00:37.259	00:00:37.921	0.662	M
annotation	00:00:37.921	00:00:38.223	0.302	N
annotation	00:00:38.223	00:00:38.559	0.336	P
annotation	00:00:38.559	00:00:38.899	0.340	N
annotation	00:00:38.899	00:00:39.221	0.322	P
annotation	00:00:39.221	00:00:39.548	0.327	M
annotation	00:00:39.548	00:00:39.890	0.342	R
annotation	00:00:39.890	00:00:40.576	0.686	G
annotation	00:00:40.576	00:00:40.939	0.363	R
annotation	00:00:40.939	00:00:41.282	0.342	N
annotation	00:00:41.282	00:00:41.621	0.340	S
annotation	00:00:41.621	00:00:41.914	0.293	R
annotation	00:00:41.914	00:00:42.243	0.329	G
annotation	00:00:42.243	00:00:42.581	0.338	R
annotation	00:00:42.581	00:00:43.249	0.668	S
annotation	00:00:43.249	00:00:43.621	0.372	N
annotation	00:00:43.621	00:00:43.920	0.299	P
annotation	00:00:43.920	00:00:44.262	0.342	N
annotation	00:00:44.262	00:00:44.601	0.339	S
annotation	00:00:44.601	00:00:44.940	0.339	R
annotation	00:00:44.940	00:00:45.278	0.338	G
annotation	00:00:45.278	00:00:45.904	0.625	R
annotation	00:00:45.904	00:00:46.228	0.324	S
